# Wavelength Flux(Normalised) Flux(Original)
6177.2414  5.197562e-01  2.131543e+04
6177.4971  5.283833e-01  2.150846e+04
6177.7528  4.518418e-01  2.142806e+04
6178.0085  4.100899e-01  2.144819e+04
6178.2642  3.330632e-01  2.135087e+04
6178.5200  3.257258e-01  2.146337e+04
6178.7757  2.972719e-01  2.150306e+04
6179.0314  2.177822e-01  2.137701e+04
6179.2871  1.622348e-01  2.131904e+04
6179.5428  2.168258e-01  2.159790e+04
6179.7985  1.043634e-01  2.135034e+04
6180.0542  8.892796e-02  2.139925e+04
6180.3099  4.145207e-02  2.134278e+04
6180.5656  7.535052e-02  2.153446e+04
6180.8213  1.400816e-01  2.181705e+04
6181.0770  1.543722e-01  2.193759e+04
6181.3327  1.034286e-01  2.185020e+04
6181.5884  1.057831e-01  2.192431e+04
6181.8442  1.185738e-01  2.202659e+04
6182.0999  4.232034e-02  2.184734e+04
6182.3556 -4.436453e-03  2.175600e+04
6182.6113  1.279909e-02  2.186021e+04
6182.8670 -7.055008e-02  2.164746e+04
6183.1227 -5.706042e-02  2.173290e+04
6183.3784 -7.653849e-02  2.171235e+04
6183.6341 -4.732765e-02  2.184031e+04
6183.8898 -4.709924e-02  2.187499e+04
6184.1455 -1.366781e-01  2.162705e+04
6184.4012 -1.575134e-01  2.159055e+04
6184.6569 -1.317028e-01  2.169677e+04
6184.9127 -5.314322e-02  2.196486e+04
6185.1684 -1.161861e-01  2.178953e+04
6185.4241 -5.973078e-02  2.198425e+04
6185.6798 -4.386302e-02  2.205046e+04
6185.9355 -8.267812e-02  2.194436e+04
6186.1912 -9.371584e-02  2.192295e+04
6186.4469 -7.395251e-02  2.199574e+04
6186.7026 -7.244717e-02  2.201002e+04
6186.9583 -1.250648e-01  2.185417e+04
6187.2140 -2.588018e-01  2.144419e+04
6187.4697 -1.831603e-01  2.168510e+04
6187.7254 -4.900456e-02  2.210704e+04
6187.9811 -5.713870e-02  2.208456e+04
6188.2369 -1.027149e-01  2.194437e+04
6188.4926 -1.238524e-01  2.187930e+04
6188.7483 -6.816293e-02  2.205265e+04
6189.0040 -4.417068e-03  2.225024e+04
6189.2597  2.689964e-02  2.234605e+04
6189.5154  6.924311e-04  2.226195e+04
6189.7711 -1.807564e-02  2.220040e+04
6190.0268 -4.897391e-02  2.210049e+04
6190.2825 -2.334640e-03  2.224161e+04
6190.5382 -6.029213e-02  2.205644e+04
6190.7939 -1.038676e-01  2.191569e+04
6191.0496 -8.604069e-02  2.196588e+04
6191.3053  8.107948e-02  2.248085e+04
6191.5611  6.569887e-02  2.242707e+04
6191.8168  9.092371e-02  2.249960e+04
6192.0725  1.733655e-01  2.275022e+04
6192.3282  1.326018e-01  2.261695e+04
6192.5839 -2.513942e-02  2.211922e+04
6192.8396  4.010927e-02  2.231612e+04
6193.0953  1.306312e-01  2.259177e+04
6193.3510  9.820241e-02  2.248447e+04
6193.6067  1.233665e-01  2.255668e+04
6193.8624  1.183803e-01  2.253508e+04
6194.1181  5.020402e-02  2.231680e+04
6194.3738 -1.293053e-02  2.211441e+04
6194.6296 -1.001008e-02  2.211800e+04
6194.8853 -7.845949e-02  2.189950e+04
6195.1410 -1.903741e-01  2.154586e+04
6195.3967 -3.348989e-02  2.202986e+04
6195.6524 -1.122083e-01  2.178023e+04
6195.9081 -1.985280e-01  2.150724e+04
6196.1638 -1.196105e-01  2.174934e+04
6196.4195 -7.071747e-02  2.189828e+04
6196.6752 -7.107173e-02  2.189418e+04
6196.9309 -1.362313e-02  2.207054e+04
6197.1866 -6.671909e-02  2.190295e+04
6197.4423 -3.540108e-02  2.199874e+04
6197.6980  6.263566e-02  2.230281e+04
6197.9538  1.019001e-01  2.242423e+04
6198.2095  9.555136e-02  2.240402e+04
6198.4652  8.999450e-02  2.238674e+04
6198.7209  1.808409e-01  2.267024e+04
6198.9766  2.043005e-01  2.274430e+04
6199.2323  1.563117e-01  2.259627e+04
6199.4880  1.267661e-01  2.250618e+04
6199.7437  3.426797e-02  2.222047e+04
6199.9994 -1.413392e-02  2.207263e+04
6200.2551  7.677222e-02  2.235925e+04
6200.5108  2.138335e-01  2.279015e+04
6200.7665  1.811519e-01  2.269278e+04
6201.0222  2.308023e-01  2.285238e+04
6201.2780  1.197082e-01  2.251175e+04
6201.5337  5.729457e-02  2.232326e+04
6201.7894  3.989851e-03  2.216365e+04
6202.0451 -1.933433e-01  2.155587e+04
6202.3008 -3.405320e-01  2.110479e+04
6202.5565 -3.009282e-01  2.123609e+04
6202.8122 -2.284329e-01  2.147033e+04
6203.0679 -2.487506e-01  2.141593e+04
6203.3236 -3.642906e-01  2.106539e+04
6203.5793 -3.202504e-01  2.121243e+04
6203.8350 -2.736321e-01  2.136797e+04
6204.0907 -1.416024e-01  2.179004e+04
6204.3465 -5.509829e-02  2.207075e+04
6204.6022 -1.119518e-01  2.190534e+04
6204.8579  1.428282e-02  2.231071e+04
6205.1136  7.872511e-02  2.252402e+04
6205.3693  5.993349e-02  2.247848e+04
6205.6250  1.035171e-02  2.233745e+04
6205.8807  3.396579e-02  2.242485e+04
6206.1364  1.499640e-01  2.280043e+04
6206.3921  1.126418e-01  2.269880e+04
6206.6478 -7.250565e-02  2.213707e+04
6206.9035  1.399986e-01  2.281445e+04
6207.1592  1.800607e-01  2.295502e+04
6207.4149  1.735136e-01  2.295075e+04
6207.6707  1.476357e-01  2.288662e+04
6207.9264  1.074092e-01  2.277813e+04
6208.1821  1.824332e-01  2.302899e+04
6208.4378  1.248119e-01  2.286696e+04
6208.6935  1.431046e-01  2.294173e+04
6208.9492  1.519192e-01  2.298727e+04
6209.2049  7.852504e-02  2.277702e+04
6209.4606  6.477894e-02  2.275285e+04
6209.7163  1.151007e-01  2.292853e+04
6209.9720  1.527476e-01  2.306499e+04
6210.2277  1.346657e-01  2.302810e+04
6210.4834  1.645434e-01  2.314084e+04
6210.7391  1.761542e-01  2.319691e+04
6210.9949  9.886970e-02  2.297628e+04
6211.2506  6.799879e-02  2.290043e+04
6211.5063 -6.209267e-03  2.268978e+04
6211.7620  2.994813e-02  2.282312e+04
6212.0177  7.194106e-02  2.297482e+04
6212.2734  8.713043e-02  2.304318e+04
6212.5291  1.114149e-01  2.314003e+04
6212.7848  1.583789e-02  2.286363e+04
6213.0405  7.928241e-02  2.308275e+04
6213.2962  1.380823e-01  2.328751e+04
6213.5519  5.189514e-02  2.304074e+04
6213.8076  3.389869e-02  2.300649e+04
6214.0634  1.958372e-02  2.298380e+04
6214.3191  9.918721e-02  2.325377e+04
6214.5748  2.692025e-01  2.380545e+04
6214.8305  6.731075e-02  2.319865e+04
6215.0862  4.978196e-02  2.316622e+04
6215.3419  4.916977e-02  2.318653e+04
