# Wavelength Flux(Normalised) Flux(Original)
6177.6980  1.799507e-02  2.369986e+04
6177.9541  2.028241e-02  2.418852e+04
6178.2101  3.013280e-02  2.551802e+04
6178.4661  2.447115e-02  2.508627e+04
6178.7221  1.360913e-02  2.405672e+04
6178.9781  1.020540e-02  2.385752e+04
6179.2341  1.007056e-02  2.401658e+04
6179.4901  8.797632e-03  2.403725e+04
6179.7461  6.498798e-03  2.393260e+04
6180.0022  4.959148e-03  2.390433e+04
6180.2582  4.288836e-03  2.396524e+04
6180.5142  3.927903e-03  2.405254e+04
6180.7702  2.805506e-03  2.404581e+04
6181.0262  2.312779e-03  2.410228e+04
6181.2822  2.733203e-03  2.425427e+04
6181.5382  1.512038e-04  2.406046e+04
6181.7942  7.389940e-04  2.421732e+04
6182.0503  3.120963e-03  2.457000e+04
6182.3063  3.462724e-03  2.468633e+04
6182.5623  1.126793e-03  2.449470e+04
6182.8183 -2.311454e-03  2.417305e+04
6183.0743 -5.452668e-03  2.387949e+04
6183.3303 -2.447240e-03  2.427404e+04
6183.5863 -2.632436e-03  2.430383e+04
6183.8424 -1.200233e-03  2.451138e+04
6184.0984  6.862259e-04  2.476574e+04
6184.3544 -4.132995e-03  2.425961e+04
6184.6104 -4.670341e-03  2.423245e+04
6184.8664 -2.470963e-03  2.451019e+04
6185.1224 -7.860668e-04  2.472637e+04
6185.3784 -1.188076e-03  2.470382e+04
6185.6344  2.913729e-04  2.489033e+04
6185.8905 -3.575204e-03  2.447091e+04
6186.1465 -1.258194e-03  2.474614e+04
6186.4025 -2.720536e-04  2.486865e+04
6186.6585 -2.247923e-03  2.465465e+04
6186.9145 -3.218615e-03  2.455175e+04
6187.1705 -4.667781e-03  2.439276e+04
6187.4265 -4.430809e-03  2.442198e+04
6187.6825 -4.377526e-03  2.442866e+04
6187.9386 -5.163025e-04  2.486313e+04
6188.1946 -1.395354e-03  2.476143e+04
6188.4506 -3.531892e-03  2.451649e+04
6188.7066 -4.048629e-03  2.445294e+04
6188.9626 -2.689820e-03  2.459976e+04
6189.2186  4.496518e-04  2.494636e+04
6189.4746 -2.836340e-03  2.456732e+04
6189.7306 -2.086625e-03  2.464261e+04
6189.9867 -3.744261e-04  2.482571e+04
6190.2427 -8.194560e-04  2.476488e+04
6190.4987  3.881693e-04  2.488990e+04
6190.7547 -1.275367e-03  2.469065e+04
6191.0107 -5.780885e-03  2.417049e+04
6191.2667 -9.229920e-04  2.470610e+04
6191.5227 -1.686011e-03  2.460755e+04
6191.7787 -1.102841e-03  2.466070e+04
6192.0348  1.140626e-03  2.490104e+04
6192.2908  2.279578e-03  2.501682e+04
6192.5468  1.400609e-03  2.490508e+04
6192.8028 -2.277723e-03  2.447774e+04
6193.0588 -5.640761e-04  2.465874e+04
6193.3148  1.189764e-03  2.484451e+04
6193.5708  2.502299e-03  2.498080e+04
6193.8268 -2.054850e-03  2.445543e+04
6194.0829  3.020337e-04  2.471026e+04
6194.3389  2.108974e-03  2.490350e+04
6194.5949  1.854588e-04  2.467647e+04
6194.8509  1.386866e-03  2.480241e+04
6195.1069 -4.323307e-03  2.414938e+04
6195.3629 -2.920806e-03  2.429914e+04
6195.6189 -1.608304e-03  2.443937e+04
6195.8749 -8.918052e-04  2.451303e+04
6196.1310  2.293508e-03  2.486581e+04
6196.3870  4.039513e-03  2.505696e+04
6196.6430  4.935049e-03  2.515291e+04
6196.8990  5.231823e-03  2.518207e+04
6197.1550  3.623660e-03  2.499715e+04
6197.4110  2.654673e-03  2.488510e+04
6197.6670  3.922173e-03  2.502609e+04
6197.9230  5.483076e-03  2.520098e+04
6198.1791  8.298079e-03  2.551814e+04
6198.4351  7.522695e-03  2.543119e+04
6198.6911  6.806269e-03  2.535173e+04
6198.9471  4.921903e-03  2.514139e+04
6199.2031  6.391749e-03  2.531022e+04
6199.4591  7.062654e-03  2.538980e+04
6199.7151  6.246613e-03  2.530254e+04
6199.9711  1.802103e-03  2.480691e+04
6200.2272  4.566420e-03  2.512519e+04
6200.4832  5.260678e-03  2.521088e+04
6200.7392  1.727750e-03  2.482066e+04
6200.9952  1.040948e-03  2.475230e+04
6201.2512 -1.777672e-03  2.444438e+04
6201.5072 -4.538672e-03  2.414380e+04
6201.7632 -3.339090e-03  2.429078e+04
6202.0192 -5.628693e-03  2.404506e+04
6202.2753 -6.396072e-03  2.397188e+04
6202.5313 -6.579587e-03  2.396537e+04
6202.7873 -4.716527e-03  2.419051e+04
6203.0433 -3.917114e-03  2.429650e+04
6203.2993  4.048292e-04  2.480058e+04
6203.5553 -1.152487e-04  2.475934e+04
6203.8113  3.487110e-03  2.518384e+04
6204.0673  1.119265e-02  2.607188e+04
6204.3234  4.976660e-02  3.044220e+04
6204.5794  5.256609e-02  3.077841e+04
6204.8354  2.887345e-02  2.812740e+04
6205.0914  1.721382e-02  2.683427e+04
6205.3474  4.794257e-03  2.545612e+04
6205.6034  3.403204e-03  2.532253e+04
6205.8594  3.924778e-03  2.540531e+04
6206.1155  2.164984e-03  2.523145e+04
6206.3715  4.423116e-03  2.551138e+04
6206.6275  3.970218e-03  2.548618e+04
6206.8835  5.673847e-03  2.570480e+04
6207.1395  3.690596e-03  2.550818e+04
6207.3955  3.200011e-03  2.548049e+04
6207.6515  3.568785e-03  2.555027e+04
6207.9075  4.257405e-03  2.565666e+04
6208.1636  2.451917e-04  2.523338e+04
6208.4196  2.827232e-03  2.555434e+04
6208.6756  1.053699e-03  2.538453e+04
6208.9316  3.589680e-03  2.570124e+04
6209.1876  3.706341e-03  2.574553e+04
6209.4436  4.402702e-03  2.585563e+04
6209.6996  9.458994e-04  2.549772e+04
6209.9556  2.494752e-03  2.570476e+04
6210.2117  6.103823e-04  2.552496e+04
6210.4677  2.741769e-03  2.579843e+04
6210.7237  2.179251e-03  2.576840e+04
6210.9797  3.257326e-03  2.592372e+04
6211.2357  1.884558e-03  2.580292e+04
6211.4917  4.063996e-04  2.567051e+04
6211.7477 -7.116398e-04  2.557898e+04
6212.0037 -1.748672e-03  2.549683e+04
6212.2598  1.554243e-03  2.590439e+04
6212.5158 -3.891549e-04  2.572044e+04
6212.7718 -1.317448e-03  2.565117e+04
6213.0278 -1.189868e-03  2.570116e+04
6213.2838  4.002264e-04  2.591625e+04
6213.5398  1.291954e-03  2.605271e+04
6213.7958 -2.668038e-03  2.564208e+04
6214.0518 -7.900400e-04  2.589000e+04
6214.3079 -3.266976e-03  2.564682e+04
6214.5639 -3.563495e-04  2.601136e+04
6214.8199  2.305372e-03  2.634786e+04
6215.0759 -2.832416e-04  2.609224e+04
6215.3319 -1.606571e-03  2.597934e+04
6215.5879  2.208462e-03  2.644597e+04
6215.8439  1.353508e-04  2.624849e+04
6216.0999 -3.813912e-03  2.583938e+04
6216.3560  2.648622e-04  2.633567e+04
6216.6120  9.467101e-04  2.644877e+04
6216.8680 -1.528861e-03  2.620568e+04
6217.1240 -1.947054e-03  2.619454e+04
6217.3800 -3.770250e-04  2.640754e+04
6217.6360 -2.168300e-03  2.624130e+04
6217.8920 -1.151847e-03  2.639161e+04
6218.1480 -2.157129e-03  2.631375e+04
6218.4041 -4.375801e-03  2.609887e+04
6218.6601 -5.365168e-03  2.602246e+04
6218.9161 -5.104836e-03  2.608681e+04
6219.1721 -4.007913e-03  2.624531e+04
6219.4281 -4.768171e-03  2.619414e+04
6219.6841 -2.037617e-03  2.653646e+04
6219.9401 -4.738421e-03  2.626596e+04
6220.1961 -4.604417e-03  2.631493e+04
6220.4522 -3.632653e-03  2.645813e+04
6220.7082 -7.316138e-03  2.607602e+04
6220.9642 -5.051459e-03  2.636448e+04
6221.2202 -3.955698e-03  2.652082e+04
6221.4762 -4.206108e-03  2.652503e+04
6221.7322 -5.054971e-03  2.646142e+04
