# Wavelength Flux(Normalised) Flux(Original)
6162.7010  1.309247e-02  1.342645e+04
6162.9644  1.247258e-02  1.353880e+04
6163.2279  1.078352e-02  1.342770e+04
6163.4913  9.334052e-03  1.335371e+04
6163.7547  8.672557e-03  1.342622e+04
6164.0181  8.989658e-03  1.368345e+04
6164.2815  7.886645e-03  1.364884e+04
6164.5449  6.735472e-03  1.359547e+04
6164.8084  5.450517e-03  1.350664e+04
6165.0718  5.441455e-03  1.366292e+04
6165.3352  4.809813e-03  1.368717e+04
6165.5986  5.172614e-03  1.390116e+04
6165.8620  2.624595e-03  1.352874e+04
6166.1255  3.617788e-03  1.385298e+04
6166.3889  2.338156e-03  1.371819e+04
6166.6523  1.539611e-03  1.367219e+04
6166.9157  1.353888e-03  1.374140e+04
6167.1791  1.024979e-03  1.377578e+04
6167.4426  1.980971e-03  1.405949e+04
6167.7060  1.809260e-03  1.411310e+04
6167.9694 -3.584641e-04  1.376421e+04
6168.2328 -3.877232e-04  1.383504e+04
6168.4962  3.165964e-04  1.404650e+04
6168.7596 -8.308952e-04  1.388478e+04
6169.0231 -1.931539e-03  1.372756e+04
6169.2865 -6.848383e-04  1.403244e+04
6169.5499 -1.838089e-03  1.385575e+04
6169.8133 -2.156998e-03  1.384073e+04
6170.0767 -2.866358e-03  1.374403e+04
6170.3402 -2.729045e-03  1.381181e+04
6170.6036 -2.340701e-03  1.392581e+04
6170.8670 -2.245602e-03  1.397800e+04
6171.1304 -1.397096e-03  1.417661e+04
6171.3938 -2.353059e-03  1.401327e+04
6171.6572 -4.618709e-03  1.358648e+04
6171.9207 -4.924936e-03  1.354638e+04
6172.1841 -3.327690e-03  1.388197e+04
6172.4475 -6.858915e-04  1.442263e+04
6172.7109 -9.404897e-04  1.438496e+04
6172.9743 -2.035468e-03  1.417786e+04
6173.2378 -1.767849e-03  1.423945e+04
6173.5012 -1.440490e-03  1.431083e+04
6173.7646 -1.527063e-03  1.429793e+04
6174.0280 -2.438897e-03  1.411911e+04
6174.2914 -2.035798e-03  1.419997e+04
6174.5549 -2.172697e-03  1.417183e+04
6174.8183 -2.403722e-03  1.412345e+04
6175.0817 -2.337510e-03  1.413273e+04
6175.3451 -2.063345e-03  1.418203e+04
6175.6085 -9.932889e-04  1.438832e+04
6175.8719 -2.514159e-04  1.452822e+04
6176.1354 -2.627524e-03  1.404715e+04
6176.3988 -1.100498e-03  1.434112e+04
6176.6622 -1.711463e-03  1.420912e+04
6176.9256 -2.718732e-03  1.399752e+04
6177.1890 -1.557224e-03  1.421638e+04
6177.4525 -5.909417e-04  1.439576e+04
6177.7159 -1.100025e-03  1.428121e+04
6177.9793 -1.545473e-03  1.417879e+04
6178.2427 -2.552283e-03  1.396430e+04
6178.5061 -1.776287e-03  1.410387e+04
6178.7696 -1.293357e-03  1.418484e+04
6179.0330 -1.516394e-03  1.412516e+04
6179.2964 -9.863498e-04  1.421499e+04
6179.5598 -4.723537e-04  1.430146e+04
6179.8232 -1.191970e-03  1.414254e+04
6180.0866 -7.086318e-04  1.422273e+04
6180.3501  5.410378e-04  1.445525e+04
6180.6135 -1.483542e-03  1.403680e+04
6180.8769 -6.864695e-04  1.417942e+04
6181.1403  6.390287e-05  1.431286e+04
6181.4037 -5.020270e-04  1.418473e+04
6181.6672 -1.427790e-03  1.398523e+04
6181.9306  2.116540e-03  1.467470e+04
6182.1940  1.804144e-03  1.459762e+04
6182.4574  1.325698e-03  1.448780e+04
6182.7208 -3.415676e-04  1.414193e+04
6182.9842  5.073175e-05  1.420589e+04
6183.2477  7.282902e-04  1.432692e+04
6183.5111  2.455158e-04  1.421764e+04
6183.7745  3.760627e-04  1.423071e+04
6184.0379  1.464233e-03  1.443462e+04
6184.3013  2.058813e-03  1.454084e+04
6184.5648  1.317922e-03  1.438203e+04
6184.8282  4.551059e-04  1.419946e+04
6185.0916  1.895681e-03  1.447537e+04
6185.3550  1.722108e-03  1.443088e+04
6185.6184  9.127805e-04  1.426053e+04
6185.8819 -8.353915e-04  1.390407e+04
6186.1453  3.718055e-04  1.413577e+04
6186.4087  1.812399e-03  1.441445e+04
6186.6721  1.150277e-03  1.427565e+04
6186.9355  1.288953e-03  1.429667e+04
6187.1989  2.458624e-03  1.452328e+04
6187.4624  1.947167e-03  1.441626e+04
6187.7258  2.507557e-03  1.452296e+04
6187.9892  3.504555e-03  1.471710e+04
6188.2526  3.044001e-03  1.462207e+04
6188.5160  3.045081e-03  1.461946e+04
6188.7795  3.332054e-03  1.467433e+04
6189.0429  1.879840e-03  1.438405e+04
6189.3063  2.177010e-03  1.444222e+04
6189.5697  2.649754e-03  1.453594e+04
6189.8331  2.253178e-03  1.445747e+04
6190.0966  3.654305e-03  1.473705e+04
6190.3600  3.911543e-03  1.478985e+04
6190.6234  2.767118e-03  1.456461e+04
6190.8868  1.248010e-03  1.426550e+04
6191.1502  1.014855e-03  1.422271e+04
6191.4136  1.705945e-03  1.436430e+04
6191.6771  2.541516e-03  1.453524e+04
6191.9405  3.085512e-03  1.464883e+04
6192.2039  3.013018e-03  1.464046e+04
6192.4673  2.229369e-03  1.449131e+04
6192.7307  1.722936e-03  1.439789e+04
6192.9942  3.111828e-03  1.468189e+04
6193.2576  3.952449e-03  1.485747e+04
6193.5210  4.111783e-03  1.489819e+04
6193.7844  2.781486e-03  1.464331e+04
6194.0478  9.899623e-04  1.429730e+04
6194.3112  1.056298e-03  1.432123e+04
6194.5747  2.805073e-04  1.417829e+04
6194.8381  1.591157e-03  1.445071e+04
6195.1015  1.817602e-03  1.450811e+04
6195.3649  2.620292e-03  1.468060e+04
6195.6283  2.816801e-03  1.473309e+04
6195.8918  3.109415e-03  1.480520e+04
6196.1552  3.582598e-03  1.491370e+04
6196.4186  2.903370e-03  1.479357e+04
6196.6820  3.994089e-03  1.502582e+04
6196.9454  2.254039e-03  1.469572e+04
6197.2089  1.501249e-03  1.456237e+04
6197.4723  1.350016e-03  1.454906e+04
6197.7357  1.141816e-03  1.452486e+04
6197.9991  7.354945e-04  1.446170e+04
6198.2625  1.842894e-03  1.469991e+04
6198.5259  3.001193e-03  1.494864e+04
6198.7894  2.804702e-03  1.492840e+04
6199.0528  2.110902e-03  1.480967e+04
6199.3162  1.518254e-03  1.471142e+04
6199.5796  1.862680e-03  1.479984e+04
6199.8430  1.573410e-04  1.448107e+04
6200.1065 -6.171857e-04  1.434769e+04
6200.3699  1.438585e-03  1.477736e+04
6200.6333  1.394485e-03  1.478985e+04
6200.8967 -1.925296e-04  1.449587e+04
6201.1601 -1.915425e-03  1.417517e+04
6201.4235 -2.147424e-03  1.415117e+04
6201.6870 -2.460393e-03  1.411133e+04
6201.9504 -3.798423e-03  1.386795e+04
6202.2138 -3.013075e-03  1.404698e+04
6202.4772 -3.318699e-03  1.400933e+04
6202.7406 -2.903903e-03  1.411514e+04
6203.0041 -2.534948e-03  1.421205e+04
6203.2675 -2.021781e-03  1.433783e+04
6203.5309 -1.662932e-03  1.443311e+04
6203.7943 -1.096387e-04  1.476605e+04
6204.0577 -1.339420e-03  1.454582e+04
6204.3212 -6.193715e-04  1.471342e+04
6204.5846 -1.574730e-04  1.482983e+04
6204.8480  4.375776e-04  1.497285e+04
6205.1114 -3.709366e-04  1.483693e+04
6205.3748 -3.916673e-04  1.485776e+04
6205.6382 -6.381435e-04  1.483380e+04
6205.9017 -4.026771e-04  1.490575e+04
6206.1651 -1.624656e-04  1.497873e+04
6206.4285  1.318858e-03  1.529854e+04
6206.6919  1.499750e-03  1.535985e+04
6206.9553 -6.400208e-04  1.495982e+04
6207.2188  1.077036e-04  1.513393e+04
6207.4822  8.068581e-04  1.529841e+04
6207.7456 -8.809653e-05  1.514597e+04
6208.0090 -2.482485e-04  1.513964e+04
6208.2724 -8.860357e-04  1.503835e+04
6208.5359 -8.063160e-04  1.507970e+04
6208.7993  2.036902e-04  1.530601e+04
6209.0627  1.331957e-04  1.531746e+04
6209.3261 -2.928498e-04  1.525819e+04
6209.5895 -2.108525e-04  1.529989e+04
6209.8529 -1.990638e-03  1.497138e+04
6210.1164 -9.836073e-04  1.519689e+04
6210.3798 -9.771133e-04  1.522341e+04
6210.6432 -1.081676e-03  1.522777e+04
6210.9066 -5.739653e-04  1.535379e+04
6211.1700 -1.249634e-03  1.524444e+04
6211.4335 -2.224311e-03  1.507554e+04
6211.6969 -1.157342e-03  1.531246e+04
6211.9603 -1.479970e-03  1.527299e+04
6212.2237 -2.850267e-03  1.502510e+04
6212.4871 -2.480601e-03  1.512303e+04
6212.7505 -1.824955e-03  1.527769e+04
6213.0140 -1.947828e-03  1.527742e+04
6213.2774 -1.374055e-03  1.541552e+04
6213.5408 -2.356156e-03  1.524413e+04
6213.8042 -2.613926e-03  1.521659e+04
6214.0676 -1.641926e-03  1.543340e+04
6214.3311 -1.578155e-03  1.546946e+04
6214.5945 -1.746394e-03  1.545922e+04
6214.8579 -2.264429e-03  1.537926e+04
6215.1213 -3.081683e-03  1.523962e+04
6215.3847 -2.277035e-03  1.542226e+04
6215.6482 -1.995315e-03  1.550073e+04
6215.9116 -2.511780e-03  1.542031e+04
6216.1750 -3.113236e-03  1.532279e+04
6216.4384 -1.962852e-03  1.557336e+04
6216.7018 -1.787477e-03  1.562987e+04
6216.9652 -1.725860e-03  1.566354e+04
6217.2287 -1.806947e-03  1.566862e+04
6217.4921 -3.342163e-03  1.538436e+04
6217.7555 -3.969154e-03  1.528045e+04
6218.0189 -2.664056e-03  1.556045e+04
6218.2823 -1.141334e-03  1.588347e+04
6218.5458 -7.673918e-04  1.597786e+04
6218.8092 -2.610669e-04  1.609833e+04
6219.0726 -1.660097e-03  1.583973e+04
6219.3360 -2.806534e-03  1.563110e+04
6219.5994 -2.251199e-03  1.576056e+04
6219.8629 -3.347995e-03  1.556130e+04
6220.1263 -4.408536e-03  1.536898e+04
6220.3897 -3.538607e-03  1.556023e+04
6220.6531 -2.026841e-03  1.587883e+04
6220.9165 -1.921453e-03  1.591754e+04
6221.1799 -2.744394e-03  1.577142e+04
6221.4434 -3.360542e-03  1.566616e+04
6221.7068 -2.673714e-03  1.581968e+04
6221.9702 -3.569504e-03  1.565827e+04
6222.2336 -2.806018e-03  1.582649e+04
6222.4970 -3.310429e-03  1.574236e+04
6222.7605 -1.809918e-03  1.605657e+04
6223.0239 -3.141958e-03  1.580734e+04
6223.2873 -3.378082e-03  1.577572e+04
6223.5507 -2.768511e-03  1.591197e+04
6223.8141 -1.956982e-03  1.608810e+04
6224.0775 -3.085876e-03  1.587816e+04
6224.3410 -1.974174e-03  1.611341e+04
6224.6044 -1.952252e-03  1.613171e+04
6224.8678 -3.312706e-03  1.587490e+04
6225.1312 -3.559089e-03  1.583930e+04
6225.3946 -2.652382e-03  1.603268e+04
6225.6581 -2.204349e-03  1.613460e+04
6225.9215 -2.897970e-03  1.600925e+04
6226.1849 -1.043588e-03  1.639021e+04
6226.4483 -2.585260e-03  1.609570e+04
6226.7117 -1.938804e-03  1.623596e+04
6226.9752 -1.282140e-03  1.637796e+04
6227.2386 -2.526043e-03  1.614182e+04
6227.5020 -2.761464e-03  1.610592e+04
6227.7654 -2.444976e-03  1.617947e+04
6228.0288 -1.050141e-03  1.646714e+04
6228.2922 -2.108419e-03  1.626682e+04
6228.5557 -3.652661e-03  1.596961e+04
6228.8191 -7.149852e-03  1.528384e+04
6229.0825 -1.177363e-02  1.437381e+04
6229.3459 -8.029105e-03  1.512731e+04
6229.6093 -3.982190e-03  1.594066e+04
6229.8728 -3.049689e-04  1.668025e+04
6230.1362 -1.236242e-03  1.650332e+04
6230.3996 -9.423388e-04  1.656971e+04
6230.6630 -2.541947e-04  1.671423e+04
6230.9264  6.701979e-04  1.690546e+04
6231.1899  1.281152e-03  1.703413e+04
6231.4533  9.653703e-04  1.697828e+04
6231.7167 -2.480488e-04  1.674372e+04
6231.9801  1.312336e-03  1.706040e+04
6232.2435  2.244541e-03  1.725194e+04
6232.5069  1.617522e-04  1.684379e+04
6232.7704 -8.029028e-05  1.680138e+04
6233.0338 -9.254082e-04  1.663882e+04
6233.2972 -1.170629e-03  1.659530e+04
6233.5606 -2.005354e-03  1.643434e+04
6233.8240 -1.039127e-03  1.663122e+04
6234.0875  2.850149e-04  1.689902e+04
6234.3509  2.531609e-03  1.735001e+04
6234.6143  1.513285e-03  1.715163e+04
6234.8777  2.340321e-03  1.731993e+04
6235.1411  3.322980e-03  1.751896e+04
6235.4045  2.767703e-03  1.741199e+04
6235.6680  2.474488e-03  1.735692e+04
6235.9314  2.761861e-03  1.741707e+04
6236.1948  3.061100e-03  1.747937e+04
6236.4582  1.642171e-03  1.719986e+04
6236.7216  7.288709e-04  1.702068e+04
6236.9851  7.965367e-04  1.703633e+04
6237.2485  2.692211e-03  1.741524e+04
6237.5119  2.468569e-03  1.737259e+04
6237.7753  2.063748e-03  1.729373e+04
6238.0387  1.791734e-03  1.724109e+04
6238.3022  2.180683e-03  1.731968e+04
6238.5656 -5.576842e-04  1.677632e+04
6238.8290  5.351841e-04  1.699450e+04
6239.0924  1.763221e-03  1.723939e+04
6239.3558  1.347498e-03  1.715730e+04
6239.6192  9.385165e-04  1.707638e+04
6239.8827  7.328106e-04  1.703571e+04
6240.1461  1.133101e-03  1.711537e+04
6240.4095  3.727331e-03  1.763107e+04
6240.6729  3.906844e-03  1.766652e+04
6240.9363  3.070756e-03  1.749990e+04
6241.1998  1.981270e-03  1.728275e+04
6241.4632  1.428784e-03  1.717222e+04
6241.7266  2.425876e-03  1.736964e+04
6241.9900  3.709031e-03  1.762380e+04
6242.2534  2.268171e-03  1.733624e+04
6242.5169  3.279143e-03  1.753602e+04
6242.7803  3.801323e-03  1.763850e+04
6243.0437  3.597198e-03  1.759644e+04
6243.3071  4.221824e-03  1.771904e+04
6243.5705  5.629798e-03  1.799727e+04
6243.8339  5.584521e-03  1.798644e+04
6244.0974  5.168025e-03  1.790171e+04
6244.3608  4.951630e-03  1.785664e+04
6244.6242  4.766836e-03  1.781776e+04
6244.8876  6.779616e-03  1.821571e+04
6245.1510  7.786948e-03  1.841365e+04
6245.4145  7.756829e-03  1.840523e+04
6245.6779  7.151609e-03  1.828238e+04
6245.9413  5.699128e-03  1.799099e+04
6246.2047  6.231389e-03  1.809412e+04
6246.4681  5.719453e-03  1.798957e+04
6246.7315  6.358763e-03  1.811383e+04
