# Wavelength Flux(Normalised) Flux(Original)
6163.6740  2.282174e-02  9.841592e+03
6163.9328  2.210799e-02  9.965568e+03
6164.1916  2.188029e-02  1.013235e+04
6164.4504  2.164631e-02  1.028976e+04
6164.7092  2.069314e-02  1.036214e+04
6164.9680  1.911570e-02  1.035988e+04
6165.2268  1.650301e-02  1.023944e+04
6165.4856  1.378174e-02  1.009983e+04
6165.7444  1.213683e-02  1.006755e+04
6166.0032  1.050856e-02  1.002993e+04
6166.2620  8.712731e-03  9.967598e+03
6166.5208  7.298022e-03  9.939245e+03
6166.7796  7.413529e-03  1.006753e+04
6167.0384  7.516503e-03  1.018831e+04
6167.2972  4.857162e-03  1.000883e+04
6167.5559  2.033578e-03  9.806119e+03
6167.8147  2.214651e-03  9.917996e+03
6168.0735  2.657712e-03  1.005246e+04
6168.3323  1.685227e-03  1.003097e+04
6168.5911 -1.638993e-04  9.911150e+03
6168.8499 -6.742288e-06  1.000033e+04
6169.1087  3.724585e-04  1.010859e+04
6169.3675 -5.565817e-04  1.007308e+04
6169.6263 -1.686679e-03  1.001192e+04
6169.8851 -1.991745e-03  1.003461e+04
6170.1439 -1.175357e-03  1.017289e+04
6170.4027  1.752773e-04  1.036436e+04
6170.6615 -8.459121e-04  1.029955e+04
6170.9203 -1.159655e-03  1.030669e+04
6171.1791 -2.616113e-03  1.018879e+04
6171.4378 -4.034376e-03  1.007182e+04
6171.6966 -3.629424e-03  1.014610e+04
6171.9554 -2.730756e-03  1.027011e+04
6172.2142 -3.291785e-03  1.023586e+04
6172.4730 -4.031554e-03  1.017995e+04
6172.7318 -3.882868e-03  1.021620e+04
6172.9906 -2.951279e-03  1.033349e+04
6173.2494 -2.197498e-03  1.042958e+04
6173.5082 -2.251897e-03  1.043741e+04
6173.7670 -2.653804e-03  1.040619e+04
6174.0258 -3.726751e-03  1.030153e+04
6174.2846 -2.845238e-03  1.040327e+04
6174.5434 -4.101564e-03  1.027551e+04
6174.8022 -4.290683e-03  1.025982e+04
6175.0610 -3.033255e-03  1.039669e+04
6175.3197 -2.384298e-03  1.046728e+04
6175.5785 -2.298529e-03  1.047649e+04
6175.8373 -2.425984e-03  1.046171e+04
6176.0961 -2.408225e-03  1.046118e+04
6176.3549 -3.449894e-03  1.034666e+04
6176.6137 -2.352463e-03  1.045899e+04
6176.8725 -2.330962e-03  1.045571e+04
6177.1313 -3.359389e-03  1.033966e+04
6177.3901 -3.384812e-03  1.032963e+04
6177.6489 -2.510866e-03  1.041465e+04
6177.9077 -3.047516e-03  1.034867e+04
6178.1665 -3.735516e-03  1.026591e+04
6178.4253 -4.555796e-03  1.016848e+04
6178.6841 -4.968586e-03  1.011392e+04
6178.9429 -4.954233e-03  1.010439e+04
6179.2016 -4.658386e-03  1.012443e+04
6179.4604 -4.133288e-03  1.016852e+04
6179.7192 -2.947649e-03  1.028265e+04
6179.9780 -1.179626e-03  1.045855e+04
6180.2368 -2.427500e-03  1.031290e+04
6180.4956 -4.038580e-03  1.012836e+04
6180.7544 -3.448140e-03  1.017822e+04
6181.0132 -2.621910e-03  1.025309e+04
6181.2720 -1.347520e-03  1.037564e+04
6181.5308 -2.744507e-04  1.047670e+04
6181.7896  1.632439e-04  1.051006e+04
6182.0484  6.456952e-04  1.054822e+04
6182.3072  9.361488e-05  1.047622e+04
6182.5660  7.076008e-04  1.052855e+04
6182.8248  2.075012e-03  1.066127e+04
6183.0835  2.274770e-03  1.066974e+04
6183.3423  2.090687e-03  1.063748e+04
6183.6011  2.052413e-03  1.062096e+04
