# Wavelength Flux(Normalised) Flux(Original)
6162.9067  1.081845e-02  7.333637e+03
6163.1701  1.073561e-02  7.467209e+03
6163.4335  1.080806e-02  7.616617e+03
6163.6969  1.060390e-02  7.719297e+03
6163.9602  9.432457e-03  7.675066e+03
6164.2236  7.897255e-03  7.571864e+03
6164.4870  8.640232e-03  7.793943e+03
6164.7504  5.868733e-03  7.499449e+03
6165.0138  3.609386e-03  7.273910e+03
6165.2772  3.553848e-03  7.363425e+03
6165.5406  2.975293e-03  7.371791e+03
6165.8039  4.058933e-03  7.616844e+03
6166.0673  2.996930e-03  7.545229e+03
6166.3307  2.985438e-03  7.621730e+03
6166.5941  1.723293e-03  7.512003e+03
6166.8575  1.517161e-03  7.551520e+03
6167.1209  1.418224e-03  7.602513e+03
6167.3843 -5.417999e-04  7.379016e+03
6167.6477  1.291319e-03  7.703109e+03
6167.9110  8.581842e-04  7.694111e+03
6168.1744 -7.240147e-04  7.514564e+03
6168.4378 -3.328299e-04  7.618504e+03
6168.7012  9.227454e-04  7.844854e+03
6168.9646 -7.581466e-04  7.641232e+03
6169.2280 -1.983458e-03  7.500853e+03
6169.4914 -8.605786e-04  7.698959e+03
6169.7547 -2.137038e-04  7.825131e+03
6170.0181  3.511175e-04  7.936752e+03
6170.2815 -1.034733e-03  7.762303e+03
6170.5449 -2.664541e-03  7.549991e+03
6170.8083 -4.404589e-04  7.895611e+03
6171.0717  8.863477e-04  8.108610e+03
6171.3351 -1.190349e-03  7.824770e+03
6171.5985 -1.830150e-03  7.747815e+03
6171.8618 -1.390311e-03  7.825910e+03
6172.1252 -1.341353e-03  7.845383e+03
6172.3886 -1.738770e-03  7.798256e+03
6172.6520 -1.139578e-03  7.894377e+03
6172.9154 -2.195143e-03  7.748412e+03
6173.1788 -3.099196e-03  7.623013e+03
6173.4422 -3.486058e-03  7.571415e+03
6173.7055 -2.511686e-03  7.716391e+03
6173.9689 -1.214174e-03  7.907110e+03
6174.2323 -3.136305e-03  7.628646e+03
6174.4957 -3.419768e-03  7.587301e+03
6174.7591 -3.081043e-03  7.635379e+03
6175.0225 -2.329279e-03  7.742543e+03
6175.2859 -1.623193e-03  7.842174e+03
6175.5493 -1.806456e-03  7.811691e+03
6175.8126 -2.687520e-03  7.678999e+03
6176.0760 -1.683258e-03  7.819651e+03
6176.3394 -1.785102e-03  7.798852e+03
6176.6028  8.275514e-04  8.172037e+03
6176.8662  8.476806e-04  8.167800e+03
6177.1296 -1.673720e-03  7.793602e+03
6177.3930 -1.680872e-03  7.784427e+03
6177.6563  1.060413e-04  8.035631e+03
6177.9197 -4.081410e-03  7.417994e+03
6178.1831 -2.226704e-03  7.678350e+03
6178.4465 -1.796845e-03  7.731291e+03
6178.7099 -1.169565e-03  7.812680e+03
6178.9733 -1.198519e-03  7.798461e+03
6179.2367 -5.408571e-04  7.883875e+03
6179.5001  9.324763e-04  8.087717e+03
6179.7634 -2.255825e-03  7.613807e+03
6180.0268  3.048150e-04  7.975518e+03
6180.2902 -6.248184e-04  7.829814e+03
6180.5536  3.062042e-05  7.914508e+03
6180.8170  3.924218e-04  7.956525e+03
6181.0804 -4.877844e-04  7.818033e+03
6181.3438 -7.773560e-04  7.765460e+03
6181.6071 -8.952507e-04  7.737928e+03
6181.8705  8.158372e-04  7.976375e+03
6182.1339  1.423263e-03  8.054518e+03
6182.3973  1.688447e-03  8.083061e+03
6182.6607  6.448186e-04  7.921518e+03
6182.9241 -1.161358e-03  7.649315e+03
6183.1875 -1.198034e-03  7.634545e+03
6183.4509  9.327011e-04  7.935065e+03
6183.7142  1.400314e-03  7.994064e+03
6183.9776  3.556025e-04  7.833478e+03
6184.2410  4.738596e-04  7.842215e+03
6184.5044  1.055917e-03  7.918654e+03
6184.7678  7.434977e-04  7.865361e+03
6185.0312 -9.482051e-04  7.611873e+03
6185.2946  5.924722e-04  7.828578e+03
6185.5579  2.356201e-03  8.078033e+03
6185.8213  1.751039e-03  7.983468e+03
6186.0847  6.614647e-04  7.818829e+03
6186.3481  9.685773e-04  7.857572e+03
6186.6115  1.246963e-03  7.892498e+03
6186.8749  1.487864e-03  7.922340e+03
6187.1383  1.641796e-03  7.939910e+03
6187.4017  8.212652e-04  7.816203e+03
6187.6650  8.874941e-04  7.821781e+03
6187.9284  2.336462e-03  8.028747e+03
6188.1918  2.888886e-03  8.105774e+03
6188.4552  2.367781e-03  8.027139e+03
6188.7186  2.045701e-03  7.977828e+03
6188.9820  3.253884e-03  8.151361e+03
6189.2454  2.012073e-03  7.969146e+03
6189.5087  1.903947e-04  7.703037e+03
6189.7721  2.608287e-04  7.712375e+03
6190.0355  1.751907e-03  7.928625e+03
6190.2989  1.636474e-03  7.911742e+03
6190.5623  2.461431e-03  8.031958e+03
6190.8257  1.731723e-03  7.926576e+03
6191.0891  1.961353e-03  7.961045e+03
6191.3525  1.257073e-03  7.860149e+03
6191.6158  8.376521e-04  7.801055e+03
6191.8792  1.712904e-03  7.930551e+03
6192.1426  3.575844e-03  8.204010e+03
6192.4060  3.401953e-03  8.181768e+03
6192.6694  1.171707e-03  7.860982e+03
6192.9328  4.018691e-03  8.278630e+03
6193.1962  2.718241e-03  8.093756e+03
6193.4595  1.765678e-03  7.959822e+03
6193.7229  2.021511e-03  8.001913e+03
6193.9863  1.533710e-03  7.936266e+03
6194.2497 -1.397698e-04  7.698617e+03
6194.5131  1.059646e-03  7.878940e+03
6194.7765 -1.044097e-03  7.579443e+03
6195.0399  1.725052e-03  7.988639e+03
6195.3033  1.251724e-03  7.926824e+03
6195.5666  1.018419e-03  7.900230e+03
6195.8300  3.527652e-03  8.272632e+03
6196.0934  3.371063e-03  8.257832e+03
6196.3568  4.308175e-03  8.402331e+03
6196.6202  3.590778e-03  8.306627e+03
6196.8836  2.407249e-03  8.143463e+03
6197.1470  2.322395e-03  8.140302e+03
6197.4103  3.010726e-03  8.249822e+03
6197.6737  4.285643e-03  8.444893e+03
6197.9371  2.892774e-03  8.252432e+03
6198.2005  2.021356e-03  8.136039e+03
6198.4639 -6.388003e-06  7.851816e+03
6198.7273  4.573778e-04  7.930027e+03
6198.9907  1.376491e-03  8.074677e+03
6199.2541  2.645508e-03  8.270430e+03
6199.5174  2.518771e-03  8.263521e+03
6199.7808  1.949307e-03  8.192479e+03
6200.0442  1.901850e-03  8.197539e+03
6200.3076  9.839754e-04  8.076281e+03
6200.5710  2.481756e-04  7.981695e+03
6200.8344 -9.433120e-06  7.956819e+03
6201.0978 -5.631352e-04  7.889092e+03
6201.3611 -1.631518e-03  7.746730e+03
6201.6245 -3.416919e-03  7.500315e+03
6201.8879 -2.317080e-03  7.673484e+03
6202.1513 -2.798293e-03  7.616984e+03
6202.4147 -1.838802e-03  7.770068e+03
6202.6781 -2.368257e-03  7.706858e+03
6202.9415 -9.217178e-04  7.931031e+03
6203.2049 -1.015620e-04  8.064283e+03
6203.4682 -2.164375e-03  7.778577e+03
6203.7316 -1.165902e-04  8.090531e+03
6203.9950 -1.174246e-03  7.951174e+03
6204.2584 -5.429828e-04  8.057434e+03
6204.5218 -7.663929e-04  8.039553e+03
6204.7852 -1.057366e-03  8.011943e+03
6205.0486 -1.335603e-03  7.986271e+03
6205.3119 -7.438682e-05  8.184463e+03
6205.5753  1.608928e-03  8.444086e+03
6205.8387 -1.340005e-03  8.030405e+03
6206.1021  4.553863e-05  8.246869e+03
6206.3655  1.733136e-03  8.507295e+03
6206.6289  1.751544e-03  8.525125e+03
6206.8923  1.458902e-03  8.497780e+03
6207.1557  1.257034e-03  8.483666e+03
6207.4190  1.587570e-04  8.339273e+03
6207.6824 -1.314992e-04  8.312362e+03
6207.9458 -5.697212e-04  8.263959e+03
6208.2092 -9.751890e-04  8.220328e+03
6208.4726 -1.222351e-03  8.199715e+03
6208.7360 -1.737827e-03  8.140098e+03
6208.9994 -1.834316e-03  8.141381e+03
6209.2627 -1.411092e-03  8.218201e+03
6209.5261 -1.164635e-03  8.269309e+03
6209.7895 -1.826423e-03  8.188366e+03
6210.0529 -3.666769e-04  8.415795e+03
6210.3163 -2.924951e-03  8.059108e+03
6210.5797 -3.553741e-03  7.982865e+03
6210.8431 -2.893496e-03  8.093961e+03
6211.1065 -1.849349e-03  8.260815e+03
6211.3698 -1.343785e-03  8.349326e+03
6211.6332 -3.759499e-03  8.013126e+03
6211.8966 -5.986287e-04  8.487509e+03
6212.1600 -6.798453e-04  8.490537e+03
6212.4234 -1.350462e-03  8.407816e+03
6212.6868 -1.175699e-03  8.447910e+03
6212.9502 -1.531441e-03  8.410808e+03
6213.2136 -2.702705e-03  8.255073e+03
6213.4769 -2.296326e-03  8.328587e+03
6213.7403 -4.962314e-03  7.955393e+03
6214.0037 -2.067812e-03  8.390408e+03
6214.2671 -6.570685e-04  8.609638e+03
6214.5305 -1.318061e-03  8.527605e+03
6214.7939 -1.023052e-03  8.584438e+03
6215.0573 -4.535713e-05  8.740399e+03
6215.3206 -6.629301e-04  8.664352e+03
6215.5840 -1.171434e-03  8.604043e+03
6215.8474 -1.763833e-03  8.531420e+03
6216.1108 -1.324897e-03  8.608596e+03
6216.3742 -1.274772e-03  8.629127e+03
6216.6376 -2.195374e-03  8.508420e+03
6216.9010 -1.792720e-03  8.579938e+03
6217.1644 -3.717969e-05  8.847987e+03
6217.4277 -1.269073e-03  8.681630e+03
6217.6911 -2.991139e-03  8.443880e+03
6217.9545 -7.256608e-04  8.785642e+03
6218.2179  9.167815e-04  9.036692e+03
6218.4813 -2.064636e-03  8.615447e+03
6218.7447 -3.113531e-03  8.474978e+03
6219.0081 -2.086232e-03  8.636166e+03
6219.2714 -2.921062e-03  8.526514e+03
6219.5348 -9.633954e-04  8.822642e+03
6219.7982 -1.726866e-03  8.723055e+03
6220.0616 -1.979857e-03  8.697518e+03
6220.3250 -2.885837e-03  8.576900e+03
6220.5884 -3.007578e-03  8.570125e+03
6220.8518 -1.923561e-03  8.738465e+03
6221.1152 -1.548805e-03  8.803540e+03
6221.3785 -4.951192e-03  8.319385e+03
6221.6419 -1.424904e-03  8.842257e+03
6221.9053 -1.763956e-03  8.803075e+03
6222.1687 -3.305110e-03  8.588982e+03
6222.4321 -4.445358e-03  8.433000e+03
6222.6955 -2.836745e-03  8.676439e+03
6222.9589 -1.823994e-03  8.833092e+03
6223.2222 -2.865786e-03  8.690914e+03
6223.4856 -2.148247e-03  8.804312e+03
6223.7490 -2.743424e-03  8.726716e+03
6224.0124 -3.092001e-03  8.684795e+03
6224.2758 -1.107341e-03  8.981875e+03
6224.5392 -8.359827e-04  9.029728e+03
6224.8026 -9.608600e-04  9.019809e+03
6225.0660 -7.502305e-04  9.058488e+03
6225.3293 -3.407303e-04  9.125904e+03
6225.5927 -1.229156e-03  9.004474e+03
6225.8561 -7.141125e-04  9.086887e+03
6226.1195 -2.170788e-03  8.882507e+03
6226.3829 -2.033447e-03  8.909670e+03
6226.6463 -2.104817e-03  8.906321e+03
6226.9097 -3.108185e-03  8.767320e+03
6227.1730 -3.244527e-03  8.754184e+03
6227.4364 -1.865039e-03  8.961226e+03
6227.6998 -1.140870e-03  9.072836e+03
6227.9632  7.011905e-04  9.346779e+03
6228.2266  1.146932e-03  9.417576e+03
6228.4900  1.857033e-04  9.283679e+03
6228.7534 -1.322382e-04  9.243125e+03
6229.0168 -1.624859e-04  9.244225e+03
6229.2801 -1.874620e-04  9.245924e+03
6229.5435 -4.755148e-04  9.209215e+03
6229.8069 -5.854681e-04  9.198230e+03
6230.0703  1.380014e-03  9.488779e+03
6230.3337  1.259788e-03  9.475975e+03
6230.5971 -4.914960e-05  9.290210e+03
6230.8605 -3.746388e-04  9.247244e+03
6231.1238 -1.108066e-03  9.144818e+03
6231.3872 -1.604050e-03  9.076750e+03
6231.6506  8.350938e-04  9.435191e+03
6231.9140 -9.283091e-04  9.182570e+03
6232.1774 -1.326080e-03  9.128311e+03
6232.4408  6.842335e-04  9.423950e+03
6232.7042 -9.313775e-04  9.192353e+03
6232.9676 -1.062685e-03  9.176371e+03
6233.2309  3.549601e-05  9.338966e+03
6233.4943  9.578899e-04  9.475859e+03
6233.7577  2.479167e-04  9.375316e+03
6234.0211 -1.522916e-03  9.120416e+03
6234.2845  2.010722e-03  9.636461e+03
6234.5479  1.960626e-03  9.631412e+03
6234.8113  1.817885e-03  9.612756e+03
6235.0746  2.084412e-03  9.653455e+03
6235.3380  1.792251e-03  9.612804e+03
6235.6014  3.352900e-04  9.402695e+03
6235.8648 -1.198429e-03  9.181296e+03
6236.1282  2.136111e-03  9.667443e+03
6236.3916 -1.556864e-03  9.131901e+03
6236.6550  2.274801e-03  9.690057e+03
6236.9184  2.443218e-03  9.715575e+03
6237.1817  1.159177e-03  9.529832e+03
