# Wavelength Flux(Normalised) Flux(Original)
6180.1500  3.897087e-03  1.417225e+04
6180.4045  3.628727e-03  1.420828e+04
6180.6589  3.690290e-03  1.427491e+04
6180.9134  3.250991e-03  1.428597e+04
6181.1678  2.355391e-03  1.424623e+04
6181.4222  2.426001e-03  1.430362e+04
6181.6767 -3.584276e-03  1.372608e+04
6181.9311  2.781987e-03  1.443147e+04
6182.1856  1.805051e-03  1.437104e+04
6182.4400  1.647768e-03  1.439303e+04
6182.6945  1.312605e-03  1.439391e+04
6182.9489  7.550694e-04  1.436918e+04
6183.2034  1.804639e-03  1.450903e+04
6183.4578  1.510970e-03  1.450703e+04
6183.7123  2.228304e-03  1.460789e+04
6183.9667  9.016459e-04  1.449429e+04
6184.2212 -3.086699e-04  1.439080e+04
6184.4756  2.088722e-03  1.466026e+04
6184.7301  2.021378e-03  1.467185e+04
6184.9845 -1.447962e-03  1.432826e+04
6185.2390 -3.888634e-03  1.408993e+04
6185.4934 -1.543973e-03  1.434727e+04
6185.7479 -7.971732e-04  1.443714e+04
6186.0023 -1.516321e-03  1.437333e+04
6186.2568 -3.149255e-03  1.421328e+04
6186.5112 -2.729606e-03  1.426527e+04
6186.7657 -2.374412e-03  1.430942e+04
6187.0201 -3.749019e-03  1.417275e+04
6187.2746 -5.576877e-04  1.450948e+04
6187.5290 -1.175893e-03  1.444944e+04
6187.7835 -1.126460e-03  1.445789e+04
6188.0379 -1.318021e-03  1.444046e+04
6188.2924 -2.513672e-03  1.431795e+04
6188.5468 -2.686971e-03  1.430094e+04
6188.8012 -9.521591e-04  1.448152e+04
6189.0557 -2.022254e-03  1.437006e+04
6189.3101 -4.954870e-04  1.452786e+04
6189.5646  2.500291e-03  1.483778e+04
6189.8190  2.773440e-03  1.486435e+04
6190.0735  9.053324e-04  1.466803e+04
6190.3279  1.215973e-03  1.469769e+04
6190.5824  6.770067e-05  1.457544e+04
6190.8368  3.938087e-04  1.460608e+04
6191.0913  3.146429e-03  1.488857e+04
6191.3457  4.944291e-04  1.460929e+04
6191.6002  4.073033e-04  1.459632e+04
6191.8546  2.644910e-03  1.482473e+04
6192.1091  1.327267e-03  1.468362e+04
6192.3635  1.304800e-03  1.467698e+04
6192.6180  1.304957e-03  1.467263e+04
6192.8724 -2.834181e-04  1.450319e+04
6193.1269 -1.678942e-03  1.435377e+04
6193.3813 -2.150115e-03  1.430040e+04
6193.6358  3.834177e-05  1.452340e+04
6193.8902  1.207578e-03  1.464056e+04
6194.1447 -1.884143e-04  1.449128e+04
6194.3991 -1.447950e-03  1.435626e+04
6194.6536 -1.654030e-03  1.433083e+04
6194.9080  8.382664e-04  1.458588e+04
6195.1625 -2.384361e-03  1.424731e+04
6195.4169 -5.907282e-03  1.387771e+04
6195.6714 -3.725034e-03  1.410106e+04
6195.9258  1.897744e-04  1.450462e+04
6196.1802  1.229960e-03  1.460971e+04
6196.4347  1.164801e-03  1.460019e+04
6196.6891  1.319841e-03  1.461377e+04
6196.9436  3.306509e-03  1.481791e+04
6197.1980  1.904623e-03  1.467024e+04
6197.4525  2.165734e-03  1.469561e+04
6197.7069  2.893064e-03  1.476969e+04
6197.9614  4.637376e-03  1.494972e+04
6198.2158  2.564385e-03  1.473342e+04
6198.4703  2.452125e-03  1.472113e+04
6198.7247  4.076582e-03  1.488959e+04
6198.9792  2.982703e-03  1.477591e+04
6199.2336  3.656243e-03  1.484617e+04
6199.4881  3.187483e-03  1.479807e+04
6199.7425  3.087638e-03  1.478861e+04
6199.9970  2.640414e-03  1.474337e+04
6200.2514  3.013265e-03  1.478366e+04
6200.5059  2.572737e-03  1.473976e+04
6200.7603  4.186759e-04  1.451814e+04
6201.0148 -4.376289e-04  1.443169e+04
6201.2692 -1.032766e-03  1.437269e+04
6201.5237 -1.558243e-04  1.446697e+04
6201.7781 -2.007178e-03  1.427810e+04
6202.0326 -5.069022e-03  1.396378e+04
6202.2870 -7.030337e-03  1.376412e+04
6202.5415 -3.882072e-03  1.409568e+04
6202.7959 -3.157920e-03  1.417568e+04
6203.0504 -5.891660e-03  1.389672e+04
6203.3048 -5.265946e-03  1.396712e+04
6203.5592 -2.188888e-03  1.429253e+04
6203.8137 -4.398805e-04  1.448025e+04
6204.0681 -1.339983e-03  1.439303e+04
6204.3226 -2.395813e-03  1.428993e+04
6204.5770 -2.163845e-03  1.432093e+04
6204.8315 -7.295382e-04  1.447713e+04
6205.0859 -7.578668e-04  1.448166e+04
6205.3404  1.907138e-03  1.476630e+04
6205.5948  1.198928e-03  1.470074e+04
6205.8493 -1.403684e-04  1.456987e+04
6206.1037 -5.754206e-04  1.453323e+04
6206.3582 -1.143693e-03  1.448300e+04
6206.6126  1.968264e-03  1.481540e+04
6206.8671  3.035601e-03  1.493561e+04
6207.1215  1.365960e-03  1.477169e+04
6207.3760  4.214718e-04  1.468334e+04
6207.6304  2.945881e-03  1.495565e+04
6207.8849  3.581356e-03  1.503192e+04
6208.1393  1.237777e-03  1.479888e+04
6208.3938  4.601724e-04  1.472875e+04
6208.6482  2.817184e-03  1.498452e+04
6208.9027  1.764876e-03  1.488625e+04
6209.1571  1.743179e-03  1.489526e+04
6209.4116  9.988039e-04  1.482936e+04
6209.6660 -1.087079e-03  1.462426e+04
6209.9205  1.089114e-03  1.486215e+04
6210.1749  1.369249e-03  1.490321e+04
6210.4294  6.248997e-03  1.542233e+04
6210.6838  3.611170e-03  1.516052e+04
6210.9382  1.137209e-03  1.491587e+04
6211.1927  3.331121e-04  1.484486e+04
6211.4471 -6.103304e-04  1.475950e+04
6211.7016  8.677025e-04  1.492585e+04
6211.9560 -2.732881e-03  1.456465e+04
6212.2105 -1.140648e-03  1.474309e+04
6212.4649 -7.284623e-04  1.479903e+04
6212.7194 -1.064561e-03  1.477731e+04
6212.9738  8.354321e-04  1.498801e+04
6213.2283  3.399479e-03  1.526779e+04
6213.4827  3.733311e-03  1.531592e+04
6213.7372  3.315378e-03  1.528601e+04
6213.9916 -1.357419e-03  1.481407e+04
6214.2461  2.301857e-03  1.520790e+04
6214.5005  1.556285e-03  1.514410e+04
6214.7550  1.768023e-04  1.501449e+04
6215.0094 -5.476176e-04  1.495297e+04
6215.2639 -1.262107e-04  1.501053e+04
6215.5183  5.585093e-04  1.509547e+04
6215.7728  2.676316e-03  1.532932e+04
6216.0272  1.687943e-03  1.524045e+04
6216.2817  3.109734e-03  1.540200e+04
6216.5361  5.258477e-04  1.514735e+04
6216.7906 -1.515038e-03  1.494911e+04
6217.0450 -1.196492e-03  1.499600e+04
6217.2995  2.139362e-04  1.515633e+04
