# Wavelength Flux(Normalised) Flux(Original)
6178.2544  1.791895e-02  2.924258e+04
6178.5103  1.689441e-02  2.933787e+04
6178.7662  1.496743e-02  2.934886e+04
6179.0222  1.360655e-02  2.939618e+04
6179.2781  1.464976e-02  2.963072e+04
6179.5340  1.182786e-02  2.953958e+04
6179.7899  1.082832e-02  2.958879e+04
6180.0459  1.009264e-02  2.965112e+04
6180.3018  3.227546e-03  2.920350e+04
6180.5577  2.407571e-03  2.924302e+04
6180.8137  6.198427e-03  2.965259e+04
6181.0696  2.792792e-03  2.946585e+04
6181.3255  2.252857e-03  2.950693e+04
6181.5814  3.200745e-03  2.966331e+04
6181.8374  5.952584e-03  2.996119e+04
6182.0933  5.681954e-03  3.000571e+04
6182.3492  1.180470e-03  2.969820e+04
6182.6052  1.270357e-03  2.976124e+04
6182.8611  2.170331e-03  2.988551e+04
6183.1170 -1.234129e-03  2.965252e+04
6183.3729 -6.445314e-03  2.926702e+04
6183.6289 -8.463022e-03  2.913862e+04
6183.8848  1.224622e-03  2.996443e+04
6184.1407 -2.987910e-03  2.964831e+04
6184.3967 -6.736166e-03  2.936652e+04
6184.6526 -1.181253e-03  2.984293e+04
6184.9085 -7.583855e-03  2.933708e+04
6185.1644 -8.117503e-03  2.930866e+04
6185.4204 -3.077389e-03  2.973368e+04
6185.6763 -6.617566e-04  2.994113e+04
6185.9322 -2.589844e-03  2.979044e+04
6186.1882 -4.673787e-03  2.962462e+04
6186.4441 -3.543360e-03  2.971978e+04
6186.7000 -1.527746e-03  2.988538e+04
6186.9560 -2.448118e-05  3.000715e+04
6187.2119 -3.951534e-03  2.968261e+04
6187.4678 -4.117422e-03  2.966440e+04
6187.7237 -2.029842e-03  2.982924e+04
6187.9797 -2.327522e-03  2.979747e+04
6188.2356 -1.493581e-03  2.985715e+04
6188.4915 -7.127110e-05  2.996392e+04
6188.7475  4.756092e-03  3.034852e+04
6189.0034  4.173836e-03  3.028937e+04
6189.2593  2.644914e-03  3.015198e+04
6189.5152  2.305567e-03  3.011134e+04
6189.7712  1.195322e-03  3.000706e+04
6190.0271 -2.035743e-03  2.972869e+04
6190.2830  1.006547e-03  2.996358e+04
6190.5390  4.831734e-03  3.026230e+04
6190.7949 -1.960247e-03  2.969160e+04
6191.0508 -6.121581e-04  2.978722e+04
6191.3067 -5.235525e-04  2.977970e+04
6191.5627 -8.155050e-03  2.914017e+04
6191.8186 -7.174541e-04  2.973447e+04
6192.0745  4.335456e-03  3.013371e+04
6192.3305  1.275180e-03  2.986894e+04
6192.5864 -3.435239e-04  2.972249e+04
6192.8423  9.233641e-04  2.981264e+04
6193.0982  1.890435e-03  2.987864e+04
6193.3542  1.386594e-03  2.982466e+04
6193.6101 -1.987031e-04  2.968264e+04
6193.8660  1.174399e-04  2.969683e+04
6194.1220 -1.516047e-03  2.955199e+04
6194.3779 -7.647620e-03  2.903949e+04
6194.6338 -4.167450e-03  2.931458e+04
6194.8897 -2.409160e-03  2.944938e+04
6195.1457 -9.131912e-03  2.889055e+04
6195.4016 -2.607411e-03  2.941704e+04
6195.6575  8.772790e-04  2.969542e+04
6195.9135  6.495051e-03  3.014925e+04
6196.1694  1.152874e-02  3.055607e+04
6196.4253  1.215435e-02  3.060284e+04
6196.6812  1.173687e-02  3.056508e+04
6196.9372  7.427576e-03  3.020956e+04
6197.1931  7.515731e-03  3.021496e+04
6197.4490  6.921382e-03  3.016538e+04
6197.7050  6.860424e-03  3.016039e+04
6197.9609  1.335709e-02  3.069321e+04
6198.2168  1.084085e-02  3.048907e+04
6198.4727  4.494399e-03  2.997228e+04
6198.7287  8.849955e-04  2.968052e+04
6198.9846 -8.436264e-03  2.892208e+04
6199.2405 -1.818750e-02  2.812939e+04
6199.4965 -2.214666e-03  2.944372e+04
6199.7524  6.641912e-03  3.017638e+04
6200.0083  8.795194e-03  3.036119e+04
6200.2642  4.495526e-03  3.001864e+04
6200.5202 -4.478540e-03  2.929434e+04
6200.7761 -2.981049e-03  2.942830e+04
6201.0320 -5.186827e-03  2.926001e+04
6201.2880 -9.926589e-03  2.888519e+04
6201.5439 -8.246835e-03  2.903687e+04
6201.7998 -1.167988e-02  2.877088e+04
6202.0557 -1.316135e-02  2.866556e+04
6202.3117 -4.790239e-03  2.936780e+04
6202.5676 -8.276973e-04  2.970998e+04
6202.8235 -4.910716e-03  2.939434e+04
6203.0795 -4.297048e-03  2.946408e+04
6203.3354 -2.246984e-03  2.965228e+04
6203.5913  4.554893e-05  2.986117e+04
6203.8472  1.925325e-03  3.003709e+04
6204.1032  1.112889e-03  2.999340e+04
6204.3591  3.162859e-03  3.018486e+04
6204.6150  3.885466e-04  2.998212e+04
6204.8710  4.032994e-03  3.030566e+04
6205.1269  6.830343e-03  3.056060e+04
6205.3828  4.017640e-03  3.035697e+04
6205.6387  5.069307e-03  3.047043e+04
6205.8947  2.308555e-03  3.027246e+04
6206.1506  6.172856e-03  3.061757e+04
6206.4065  4.028444e-03  3.047140e+04
6206.6625  2.919307e-03  3.041063e+04
6206.9184  5.729381e-03  3.067136e+04
6207.1743  5.223662e-03  3.066122e+04
6207.4303  7.945694e-03  3.091594e+04
6207.6862  4.145032e-03  3.063720e+04
6207.9421  5.714809e-03  3.079869e+04
6208.1980  6.531788e-03  3.089908e+04
6208.4540  7.304898e-03  3.099638e+04
6208.7099  4.899677e-03  3.083396e+04
6208.9658  3.118174e-03  3.072308e+04
6209.2218  3.214977e-03  3.076643e+04
6209.4777  6.668803e-03  3.108505e+04
6209.7336  8.718858e-03  3.128916e+04
6209.9895  7.134565e-03  3.119611e+04
6210.2455  6.104655e-03  3.114881e+04
6210.5014 -2.797280e-03  3.045738e+04
6210.7573 -1.155683e-03  3.062949e+04
6211.0133  8.427882e-03  3.145213e+04
6211.2692  2.983848e-03  3.104474e+04
6211.5251  5.140237e-03  3.125988e+04
6211.7810  2.461234e-03  3.107938e+04
6212.0370  1.373247e-04  3.092820e+04
6212.2929 -2.836665e-03  3.072401e+04
6212.5488 -3.926259e-03  3.067429e+04
6212.8048  9.382021e-04  3.111222e+04
6213.0607  1.061832e-03  3.116217e+04
6213.3166  4.869672e-03  3.151389e+04
6213.5725  3.042678e-03  3.140439e+04
6213.8285  5.023229e-05  3.119959e+04
6214.0844  1.942670e-03  3.139480e+04
6214.3403 -2.534659e-03  3.106857e+04
6214.5963 -1.076957e-03  3.122831e+04
6214.8522 -3.914839e-03  3.103639e+04
