# Wavelength Flux(Normalised) Flux(Original)
6178.2835  2.072130e-02  4.398580e+04
6178.5394  1.854862e-02  4.392086e+04
6178.7954  1.654779e-02  4.387223e+04
6179.0513  1.512441e-02  4.393674e+04
6179.3072  1.363505e-02  4.396310e+04
6179.5631  1.207361e-02  4.395071e+04
6179.8191  9.834513e-03  4.375720e+04
6180.0750  9.376257e-03  4.396480e+04
6180.3309  9.525933e-03  4.429693e+04
6180.5869  9.438873e-03  4.455457e+04
6180.8428  7.698035e-03  4.440334e+04
6181.0987  5.831550e-03  4.420536e+04
6181.3546  4.781726e-03  4.418420e+04
6181.6106  3.402881e-03  4.406959e+04
6181.8665  2.597751e-03  4.407570e+04
6182.1224  1.869461e-03  4.408564e+04
6182.3784  9.909522e-04  4.404636e+04
6182.6343  3.528979e-04  4.405084e+04
6182.8902  3.332814e-04  4.418909e+04
6183.1461 -3.578592e-04  4.415659e+04
6183.4021 -9.846102e-04  4.412793e+04
6183.6580 -5.961214e-04  4.432855e+04
6183.9139 -2.609358e-03  4.395084e+04
6184.1698 -4.314240e-03  4.363624e+04
6184.4258 -4.037588e-03  4.378096e+04
6184.6817 -4.061227e-03  4.384582e+04
6184.9376 -3.765727e-03  4.397777e+04
6185.1936 -4.629994e-03  4.382750e+04
6185.4495 -5.307562e-03  4.371388e+04
6185.7054 -4.253805e-03  4.400262e+04
6185.9613 -3.949635e-03  4.410741e+04
6186.2173 -6.081286e-03  4.362982e+04
6186.4732 -5.740244e-03  4.373111e+04
6186.7291 -4.712645e-03  4.398923e+04
6186.9851 -7.185701e-03  4.341422e+04
6187.2410 -5.357036e-03  4.385173e+04
6187.4969 -2.785432e-03  4.446041e+04
6187.7528 -2.419629e-03  4.454320e+04
6188.0088 -2.866797e-03  4.442981e+04
6188.2647 -4.004016e-04  4.500188e+04
6188.5206 -1.381206e-03  4.475533e+04
6188.7766 -1.043341e-03  4.481760e+04
6189.0325 -3.946110e-04  4.495060e+04
6189.2884 -5.970441e-04  4.487975e+04
6189.5443 -1.775348e-03  4.457581e+04
6189.8003  1.870295e-04  4.501259e+04
6190.0562 -1.882372e-03  4.449400e+04
6190.3121  1.411452e-04  4.494177e+04
6190.5680 -7.420426e-05  4.485864e+04
6190.8240 -9.273247e-04  4.462345e+04
6191.0799 -1.320828e-03  4.449594e+04
6191.3358 -4.760800e-04  4.466043e+04
6191.5918  1.173972e-03  4.501472e+04
6191.8477 -1.054349e-03  4.445125e+04
6192.1036  7.598270e-04  4.484351e+04
6192.3595  2.596193e-03  4.524083e+04
6192.6155  2.690766e-03  4.522616e+04
6192.8714  1.752187e-03  4.496724e+04
6193.1273  8.173112e-04  4.470943e+04
6193.3833  1.267922e-03  4.477963e+04
6193.6392  8.496515e-04  4.464482e+04
6193.8951  2.673946e-03  4.504096e+04
6194.1510  2.727065e-03  4.501890e+04
6194.4070  5.687423e-04  4.447462e+04
6194.6629 -4.137735e-04  4.420930e+04
6194.9188  2.160687e-04  4.432630e+04
6195.1747 -9.367951e-04  4.402273e+04
6195.4307 -2.277009e-03  4.367600e+04
6195.6866 -3.488018e-03  4.336105e+04
6195.9425 -3.230714e-03  4.339464e+04
6196.1985 -1.120236e-03  4.386786e+04
6196.4544  2.151950e-03  4.461724e+04
6196.7103  3.220088e-03  4.484683e+04
6196.9662  4.914023e-03  4.522594e+04
6197.2222  3.933453e-03  4.497409e+04
6197.4781  4.009407e-03  4.497372e+04
6197.7340  4.582215e-03  4.509251e+04
6197.9900  4.035415e-03  4.494820e+04
6198.2459  2.503661e-03  4.457267e+04
6198.5018  4.563103e-03  4.504822e+04
6198.7577  4.158008e-03  4.494268e+04
6199.0137  5.181686e-03  4.517685e+04
6199.2696  5.178605e-03  4.517000e+04
6199.5255  4.855043e-03  4.508920e+04
6199.7815  6.640745e-03  4.550910e+04
6200.0374  7.268284e-03  4.565695e+04
6200.2933  5.128126e-03  4.515211e+04
6200.5492  5.712105e-03  4.529340e+04
6200.8052  2.053144e-03  4.443311e+04
6201.0611  1.612697e-03  4.433589e+04
6201.3170  3.384771e-03  4.476381e+04
6201.5729  1.336104e-03  4.429000e+04
6201.8289 -1.885920e-03  4.354055e+04
6202.0848 -2.795259e-03  4.333992e+04
6202.3407 -3.142641e-03  4.327405e+04
6202.5967 -6.104553e-03  4.259167e+04
6202.8526 -7.816218e-03  4.220681e+04
6203.1085 -6.862788e-03  4.245407e+04
6203.3644 -6.422166e-03  4.258184e+04
6203.6204 -4.643762e-03  4.302779e+04
6203.8763 -2.948442e-03  4.345584e+04
6204.1322  1.360035e-03  4.450364e+04
6204.3882  1.025129e-03  4.445499e+04
6204.6441  4.647365e-04  4.435470e+04
6204.9000  2.276144e-03  4.481702e+04
6205.1559  3.242129e-03  4.508103e+04
6205.4119  4.039429e-03  4.530676e+04
6205.6678  3.171717e-03  4.514030e+04
6205.9237  2.853689e-03  4.510539e+04
6206.1796  3.345874e-03  4.526363e+04
6206.4356  3.231782e-03  4.527998e+04
6206.6915  3.568912e-03  4.540450e+04
6206.9474  4.926829e-03  4.577188e+04
6207.2034  2.687411e-03  4.528988e+04
6207.4593  2.973499e-03  4.540653e+04
6207.7152  2.457839e-03  4.533490e+04
