# Wavelength Flux(Normalised) Flux(Original)
6177.5566  1.354198e-02  3.540063e+04
6177.8125  1.051856e-02  3.507993e+04
6178.0685  1.192417e-02  3.570722e+04
6178.3244  9.758874e-03  3.553795e+04
6178.5804  8.093999e-03  3.546097e+04
6178.8363  8.475070e-03  3.581408e+04
6179.0923  7.608905e-03  3.587948e+04
6179.3482  7.254998e-03  3.604162e+04
6179.6042  4.768115e-03  3.572402e+04
6179.8601  3.767373e-03  3.571678e+04
6180.1161  3.437975e-03  3.584272e+04
6180.3720  3.433374e-03  3.602677e+04
6180.6280  2.899949e-03  3.608324e+04
6180.8839  2.642990e-03  3.618832e+04
6181.1399  1.219199e-03  3.602764e+04
6181.3958  2.379257e-03  3.641992e+04
6181.6518  7.311585e-04  3.618933e+04
6181.9078 -8.678951e-05  3.613004e+04
6182.1637 -3.859338e-04  3.617458e+04
6182.4197 -6.837089e-04  3.621049e+04
6182.6756 -1.938544e-03  3.602910e+04
6182.9316 -9.256770e-04  3.633432e+04
6183.1875 -2.605475e-03  3.604439e+04
6183.4435  5.986143e-04  3.681258e+04
6183.6994  1.106513e-03  3.698560e+04
6183.9554 -2.104500e-03  3.634070e+04
6184.2113 -3.938012e-03  3.599004e+04
6184.4673 -1.252973e-03  3.661920e+04
6184.7232 -1.320241e-03  3.664230e+04
6184.9792 -3.085579e-03  3.628965e+04
6185.2351 -4.119901e-03  3.609147e+04
6185.4911 -2.861717e-03  3.638871e+04
6185.7470 -1.807748e-03  3.663697e+04
6186.0030 -3.166141e-03  3.635480e+04
6186.2589 -4.195912e-03  3.614042e+04
6186.5149 -3.847304e-03  3.622311e+04
6186.7708 -1.709252e-03  3.669278e+04
6187.0268 -1.562538e-03  3.672487e+04
6187.2827 -3.993815e-03  3.619162e+04
6187.5387 -4.939940e-03  3.597966e+04
6187.7946 -2.305285e-03  3.654638e+04
6188.0506  3.027518e-04  3.710498e+04
6188.3066 -1.212624e-03  3.676195e+04
6188.5625 -1.481533e-03  3.668892e+04
6188.8185 -2.024427e-03  3.655440e+04
6189.0744 -1.292098e-03  3.669652e+04
6189.3304  9.515580e-04  3.716696e+04
6189.5863 -2.052975e-03  3.649125e+04
6189.8423 -1.983608e-04  3.687452e+04
6190.0982  1.076649e-03  3.713043e+04
6190.3542  8.378376e-04  3.705530e+04
6190.6101  2.349520e-04  3.690011e+04
6190.8661  2.131952e-04  3.687118e+04
6191.1220 -2.280362e-04  3.675034e+04
