# Wavelength Flux(Normalised) Flux(Original)
6176.8549  2.111959e-01  1.314231e+04
6177.1115 -1.260058e-01  1.254824e+04
6177.3680 -1.574996e-01  1.252797e+04
6177.6246  5.875408e-02  1.297238e+04
6177.8811  1.283410e-01  1.313856e+04
6178.1376 -2.384419e-02  1.288510e+04
6178.3942 -1.386116e-01  1.270033e+04
6178.6507 -9.942261e-02  1.280388e+04
6178.9073 -1.548740e-03  1.301632e+04
6179.1638  2.027481e-01  1.342767e+04
6179.4204  1.389474e-01  1.333246e+04
6179.6769  5.310887e-03  1.310425e+04
6179.9334 -2.091815e-03  1.311245e+04
6180.1900 -7.573867e-02  1.299453e+04
6180.4465 -3.891231e-02  1.308346e+04
6180.7031  7.733501e-02  1.332080e+04
6180.9596  1.483312e-01  1.347174e+04
6181.2162  4.398408e-02  1.329127e+04
6181.4727 -4.384167e-03  1.321520e+04
6181.7292  4.342967e-02  1.331933e+04
6181.9858 -1.393507e-01  1.298811e+04
6182.2423 -2.642132e-01  1.276510e+04
6182.4989 -8.900538e-02  1.310652e+04
6182.7554  4.815489e-02  1.337545e+04
6183.0119 -3.711197e-02  1.322460e+04
6183.2685 -6.164613e-03  1.329196e+04
6183.5250 -8.534323e-02  1.315117e+04
6183.7816 -4.726063e-02  1.323064e+04
6184.0381  4.541605e-02  1.341235e+04
6184.2947  6.226300e-03  1.334507e+04
6184.5512  1.431715e-01  1.360907e+04
6184.8077 -3.242263e-02  1.328379e+04
6185.0643  8.213400e-02  1.350464e+04
6185.3208  7.251033e-04  1.335589e+04
6185.5774 -2.118458e-01  1.295965e+04
6185.8339 -1.628103e-01  1.305585e+04
6186.0904  2.899854e-02  1.342066e+04
6186.3470 -8.919510e-02  1.320116e+04
6186.6035 -2.101965e-01  1.297608e+04
6186.8601  3.735472e-02  1.344502e+04
6187.1166  1.690646e-01  1.369548e+04
6187.3732  5.445758e-02  1.348171e+04
6187.6297 -7.381232e-02  1.324200e+04
6187.8862 -9.814127e-02  1.319792e+04
6188.1428 -1.313407e-01  1.313697e+04
6188.3993  1.113785e-01  1.359566e+04
6188.6559  7.969702e-02  1.353732e+04
6188.9124 -1.451304e-01  1.311502e+04
6189.1689  6.807242e-02  1.351781e+04
6189.4255  2.595237e-02  1.343955e+04
6189.6820 -1.254881e-01  1.315531e+04
6189.9386 -1.729448e-02  1.336013e+04
6190.1951  7.386180e-02  1.353284e+04
6190.4517  8.064408e-02  1.354659e+04
6190.7082 -1.000470e-01  1.320719e+04
6190.9647 -4.942151e-02  1.330356e+04
6191.2213 -8.105921e-04  1.339618e+04
6191.4778  8.573356e-02  1.356029e+04
6191.7344  3.134878e-02  1.345897e+04
6191.9909  6.552726e-02  1.352455e+04
6192.2474  2.210504e-02  1.344403e+04
6192.5040  2.211071e-01  1.382026e+04
6192.7605  1.527879e-01  1.369300e+04
6193.0171  2.002950e-02  1.344445e+04
6193.2736  4.335777e-02  1.349005e+04
6193.5302  1.478027e-01  1.368856e+04
6193.7867  1.225089e-01  1.364279e+04
6194.0432 -8.786257e-02  1.324850e+04
6194.2998 -2.640816e-02  1.336640e+04
6194.5563 -1.050865e-01  1.322046e+04
6194.8129 -1.202162e-01  1.319438e+04
6195.0694 -1.352056e-01  1.316870e+04
6195.3259 -1.403182e-01  1.316178e+04
6195.5825 -6.333058e-02  1.330968e+04
6195.8390 -1.245109e-01  1.319745e+04
6196.0956 -9.430670e-02  1.325753e+04
6196.3521  1.450229e-01  1.371172e+04
6196.6087  2.563362e-01  1.392493e+04
6196.8652  1.512923e-01  1.373072e+04
6197.1217  3.066088e-02  1.350732e+04
6197.3783  7.600322e-02  1.359675e+04
6197.6348  9.589473e-02  1.363841e+04
6197.8914  5.851581e-02  1.357235e+04
6198.1479 -3.186647e-02  1.340662e+04
6198.4044 -5.459951e-03  1.346107e+04
6198.6610  2.289927e-01  1.390761e+04
6198.9175  2.305334e-01  1.391556e+04
6199.1741  1.037343e-01  1.368192e+04
6199.4306  1.650645e-01  1.380285e+04
6199.6872  1.712448e-01  1.382006e+04
6199.9437  1.866972e-01  1.385491e+04
6200.2002  3.696938e-04  1.350981e+04
6200.4568 -1.724908e-02  1.348270e+04
6200.7133 -1.006036e-01  1.333192e+04
6200.9699 -1.408562e-01  1.326250e+04
6201.2264 -1.695566e-01  1.321500e+04
6201.4830 -1.598643e-01  1.323999e+04
6201.7395 -2.700577e-01  1.303930e+04
6201.9960 -3.745379e-01  1.284953e+04
6202.2526 -2.626365e-01  1.306754e+04
6202.5091 -2.707668e-01  1.305958e+04
6202.7657 -2.821141e-01  1.304572e+04
6203.0222 -2.380933e-01  1.313630e+04
6203.2787 -1.997138e-01  1.321640e+04
6203.5353 -2.141379e-01  1.319717e+04
6203.7918 -2.258500e-01  1.318319e+04
6204.0484 -1.009479e-01  1.342671e+04
6204.3049 -2.438569e-03  1.362063e+04
6204.5615 -7.387348e-02  1.349454e+04
6204.8180 -1.125728e-02  1.362111e+04
6205.0745  6.442433e-02  1.377241e+04
6205.3311 -1.162396e-02  1.363800e+04
6205.5876 -1.638695e-01  1.336017e+04
6205.8442 -1.145533e-02  1.365637e+04
6206.1007  1.452504e-01  1.396077e+04
6206.3572  1.339958e-01  1.394887e+04
6206.6138 -3.831064e-02  1.363368e+04
6206.8703  2.902204e-02  1.377002e+04
6207.1269  1.507220e-01  1.400888e+04
6207.3834  6.165552e-02  1.385078e+04
6207.6400 -3.782798e-03  1.373729e+04
6207.8965 -3.517070e-02  1.368802e+04
6208.1530  3.439122e-02  1.382901e+04
6208.4096  1.421603e-01  1.404204e+04
6208.6661  1.509953e-01  1.406878e+04
6208.9227  1.248278e-01  1.402965e+04
6209.1792  1.824295e-01  1.414839e+04
6209.4357  2.358539e-01  1.425933e+04
6209.6923  8.867627e-02  1.399243e+04
6209.9488  9.110378e-02  1.400741e+04
6210.2054  1.257527e-01  1.408314e+04
6210.4619  1.553576e-01  1.414942e+04
6210.7185  6.511825e-02  1.398998e+04
6210.9750 -8.064640e-02  1.372598e+04
6211.2315  1.383914e-01  1.414924e+04
6211.4881  1.332226e-01  1.415016e+04
6211.7446  2.479718e-02  1.395661e+04
6212.0012 -1.926235e-02  1.388433e+04
6212.2577  8.686896e-02  1.409500e+04
6212.5142  1.554294e-01  1.423492e+04
6212.7708  1.285475e-01  1.419506e+04
6213.0273  4.942770e-02  1.405681e+04
6213.2839  1.104449e-01  1.418256e+04
6213.5404  1.197420e-01  1.421088e+04
6213.7970 -5.216892e-02  1.389785e+04
6214.0535  1.947045e-02  1.404362e+04
6214.3100  2.623741e-02  1.406718e+04
6214.5666 -2.385353e-02  1.398362e+04
