# Wavelength Flux(Normalised) Flux(Original)
6178.6005  2.300072e-02  3.612896e+04
6178.8547  2.027743e-02  3.609980e+04
6179.1090  1.892283e-02  3.620164e+04
6179.3632  1.893321e-02  3.643462e+04
6179.6174  2.166293e-02  3.694309e+04
6179.8716  1.766399e-02  3.672434e+04
6180.1258  1.222593e-02  3.634052e+04
6180.3800  9.096968e-03  3.619012e+04
6180.6342  9.488807e-03  3.640228e+04
6180.8885  1.125583e-02  3.674962e+04
6181.1427  7.382994e-03  3.648772e+04
6181.3969  8.126988e-03  3.670610e+04
6181.6511  3.978510e-03  3.639544e+04
6181.9053  8.730003e-04  3.618640e+04
6182.1595  3.436593e-03  3.657060e+04
6182.4137  1.113676e-03  3.642759e+04
6182.6680  2.685985e-03  3.669021e+04
6182.9222 -4.269737e-04  3.644774e+04
6183.1764 -2.250595e-03  3.633491e+04
6183.4306 -3.877229e-03  3.623609e+04
6183.6848 -3.243996e-03  3.637065e+04
6183.9390 -5.470969e-03  3.619524e+04
6184.1932 -1.478314e-03  3.667430e+04
6184.4475 -5.862526e-03  3.625823e+04
6184.7017 -4.857948e-03  3.640900e+04
6184.9559 -5.108551e-03  3.642141e+04
6185.2101 -5.966058e-03  3.636458e+04
6185.4643 -8.073764e-03  3.617046e+04
6185.7185 -4.731111e-03  3.655080e+04
6185.9727 -2.663774e-03  3.679168e+04
6186.2270 -1.773390e-03  3.690379e+04
6186.4812 -4.576163e-03  3.662019e+04
6186.7354 -2.212016e-03  3.688188e+04
6186.9896 -3.111098e-03  3.679395e+04
6187.2438 -3.716128e-03  3.673432e+04
6187.4980 -2.436678e-03  3.687207e+04
6187.7522 -1.613602e-03  3.695884e+04
6188.0065 -2.721449e-03  3.683824e+04
6188.2607 -1.312333e-04  3.710816e+04
6188.5149 -2.530648e-04  3.708811e+04
6188.7691 -3.619470e-03  3.672172e+04
6189.0233 -4.852869e-03  3.658017e+04
6189.2775 -9.403346e-04  3.698352e+04
6189.5317 -1.156656e-03  3.694711e+04
6189.7860 -1.393810e-03  3.690726e+04
6190.0402 -2.402156e-03  3.678445e+04
6190.2944 -1.685863e-04  3.700494e+04
6190.5486 -1.628059e-03  3.683246e+04
6190.8028 -2.512797e-03  3.672031e+04
6191.0570 -8.825678e-04  3.687463e+04
6191.3112  3.108514e-04  3.698209e+04
6191.5655  3.842608e-03  3.733748e+04
6191.8197  5.035601e-03  3.744426e+04
6192.0739  3.682249e-03  3.728049e+04
6192.3281  1.943331e-04  3.688998e+04
6192.5823  2.802669e-03  3.714681e+04
6192.8365  6.724737e-04  3.690058e+04
6193.0907  6.283220e-04  3.687602e+04
6193.3450  2.074612e-03  3.700997e+04
6193.5992 -6.270733e-04  3.670379e+04
6193.8534  1.300456e-03  3.688954e+04
6194.1076  2.719863e-03  3.702179e+04
6194.3618  2.383662e-03  3.696814e+04
6194.6160 -3.325295e-04  3.666233e+04
6194.8702  3.096907e-04  3.671376e+04
6195.1245 -1.808563e-03  3.647274e+04
