# Wavelength Flux(Normalised) Flux(Original)
6177.8131  2.010160e-02  4.098977e+04
6178.0689  1.752879e-02  4.088367e+04
6178.3247  1.759359e-02  4.127206e+04
6178.5805  1.746451e-02  4.160215e+04
6178.8363  1.510080e-02  4.147570e+04
6179.0920  1.359198e-02  4.149750e+04
6179.3478  1.454489e-02  4.198241e+04
6179.6036  1.159052e-02  4.168594e+04
6179.8594  9.405992e-03  4.152318e+04
6180.1152  7.327937e-03  4.136512e+04
6180.3710  6.680605e-03  4.147129e+04
6180.6268  5.381851e-03  4.143525e+04
6180.8826  5.963948e-03  4.175268e+04
6181.1384  2.617106e-03  4.128832e+04
6181.3941  2.789755e-03  4.149898e+04
6181.6499 -1.890921e-04  4.108096e+04
6181.9057 -8.676768e-04  4.110070e+04
6182.1615 -1.160060e-03  4.118450e+04
6182.4173 -7.503999e-04  4.139462e+04
6182.6731  5.044151e-04  4.175953e+04
6182.9289  6.166119e-04  4.189109e+04
6183.1847  3.619328e-04  4.194144e+04
6183.4405 -2.374644e-04  4.191535e+04
6183.6963 -1.442284e-03  4.176229e+04
6183.9520 -1.249575e-03  4.187430e+04
6184.2078 -2.563508e-03  4.168398e+04
6184.4636 -1.904111e-03  4.187210e+04
6184.7194 -1.257615e-03  4.205073e+04
6184.9752 -3.385221e-03  4.168039e+04
6185.2310 -6.474780e-03  4.111575e+04
6185.4868 -7.657174e-03  4.091809e+04
6185.7426 -7.931564e-03  4.089241e+04
6185.9984 -4.837704e-03  4.152003e+04
6186.2541 -3.039753e-03  4.188939e+04
6186.5099 -4.627381e-03  4.159224e+04
6186.7657 -5.751861e-03  4.138134e+04
6187.0215 -3.882037e-03  4.175184e+04
6187.2773 -1.939802e-03  4.213275e+04
6187.5331 -3.247992e-03  4.187471e+04
6187.7889 -2.480491e-03  4.201926e+04
6188.0447 -1.671266e-03  4.216900e+04
6188.3005 -3.407995e-03  4.181825e+04
6188.5563 -2.937025e-03  4.189663e+04
6188.8120 -2.024336e-03  4.205908e+04
6189.0678 -4.370050e-03  4.158241e+04
6189.3236 -3.045345e-03  4.182148e+04
6189.5794 -1.447847e-03  4.211222e+04
6189.8352  1.440150e-03  4.265378e+04
6190.0910  5.061983e-04  4.244680e+04
6190.3468 -2.825875e-04  4.226709e+04
6190.6026  9.683029e-04  4.248518e+04
6190.8584  2.552962e-03  4.276773e+04
6191.1141  1.621036e-03  4.255762e+04
6191.3699  8.749409e-04  4.238333e+04
6191.6257  5.251309e-04  4.228615e+04
6191.8815  4.520255e-04  4.224284e+04
6192.1373  1.720116e-03  4.246165e+04
6192.3931  1.127446e-03  4.231667e+04
6192.6489  3.213668e-03  4.269558e+04
6192.9047  4.075053e-03  4.283526e+04
6193.1605  3.543118e-03  4.270288e+04
6193.4163  3.328424e-03  4.263296e+04
6193.6720  2.448048e-03  4.243344e+04
6193.9278  4.725682e-04  4.202044e+04
6194.1836 -9.221613e-04  4.172169e+04
6194.4394  2.312434e-03  4.232882e+04
6194.6952 -2.560849e-03  4.135163e+04
6194.9510 -3.691012e-03  4.110720e+04
6195.2068 -2.796770e-03  4.125957e+04
6195.4626 -2.630374e-03  4.127069e+04
6195.7184 -1.445607e-03  4.148204e+04
6195.9742  1.325841e-03  4.200477e+04
6196.2299  1.695913e-03  4.205924e+04
6196.4857  3.320708e-03  4.236029e+04
6196.7415  2.495801e-03  4.218370e+04
6196.9973  1.671068e-03  4.200851e+04
6197.2531  3.630986e-03  4.237913e+04
6197.5089  4.813615e-03  4.259920e+04
6197.7647  6.475631e-03  4.291445e+04
6198.0205  6.431391e-03  4.289759e+04
6198.2763  4.642992e-03  4.254123e+04
6198.5320  5.250415e-03  4.265479e+04
6198.7878  6.730830e-03  4.294058e+04
6199.0436  5.238332e-03  4.264668e+04
6199.2994  3.736652e-03  4.235256e+04
6199.5552  6.718948e-03  4.293668e+04
6199.8110  6.153070e-03  4.282869e+04
6200.0668  5.462182e-03  4.269784e+04
6200.3226  5.983510e-03  4.280560e+04
6200.5784  3.029691e-03  4.223552e+04
6200.8342  5.380418e-04  4.175741e+04
6201.0899  4.960396e-04  4.175982e+04
6201.3457 -3.727799e-03  4.094623e+04
6201.6015 -5.841875e-03  4.054670e+04
6201.8573 -4.775515e-03  4.077057e+04
6202.1131 -3.513049e-03  4.103434e+04
6202.3689 -5.612659e-03  4.064235e+04
6202.6247 -9.235425e-03  3.995412e+04
6202.8805 -1.271714e-02  3.929499e+04
6203.1363 -9.236540e-03  3.999859e+04
6203.3920 -2.247579e-03  4.138961e+04
6203.6478 -2.356370e-03  4.139443e+04
6203.9036 -3.067483e-04  4.182271e+04
6204.1594  1.335604e-03  4.217280e+04
6204.4152  2.354393e-03  4.240241e+04
6204.6710  3.575354e-03  4.267295e+04
6204.9268  2.939050e-03  4.258176e+04
6205.1826  6.574071e-04  4.217024e+04
6205.4384  1.007320e-03  4.227455e+04
6205.6942  2.140130e-03  4.253323e+04
6205.9499  2.402305e-03  4.262297e+04
6206.2057  3.168990e-03  4.281260e+04
6206.4615  5.246148e-03  4.325967e+04
6206.7173  3.688450e-03  4.299729e+04
6206.9731  4.496028e-03  4.319851e+04
6207.2289  5.533251e-03  4.344577e+04
6207.4847  5.194718e-03  4.342517e+04
6207.7405  6.363880e-03  4.370042e+04
6207.9963  3.733809e-03  4.323393e+04
6208.2520  9.203390e-04  4.273261e+04
6208.5078  3.878559e-03  4.336070e+04
6208.7636  3.893175e-03  4.341424e+04
6209.0194  2.784666e-03  4.324913e+04
6209.2752  3.035319e-03  4.335064e+04
6209.5310  4.101669e-03  4.361249e+04
6209.7868  3.043659e-03  4.345984e+04
6210.0426  3.166315e-04  4.298168e+04
6210.2984  1.649671e-03  4.329806e+04
6210.5542  2.237290e-03  4.346945e+04
6210.8099  2.024230e-03  4.348499e+04
6211.0657  8.660444e-04  4.331642e+04
6211.3215  1.352696e-03  4.347007e+04
6211.5773  4.794138e-04  4.335844e+04
6211.8331  3.860965e-04  4.339987e+04
6212.0889  1.034029e-03  4.358677e+04
6212.3447  2.098044e-03  4.385552e+04
6212.6005  1.506305e-03  4.380102e+04
6212.8563 -1.148598e-04  4.354571e+04
6213.1121 -4.628192e-04  4.353973e+04
6213.3678  1.963948e-03  4.407662e+04
6213.6236  2.197951e-03  4.418516e+04
6213.8794 -2.111127e-04  4.377726e+04
6214.1352  8.643636e-05  4.389882e+04
6214.3910  3.487518e-04  4.401374e+04
6214.6468  4.443621e-04  4.409630e+04
6214.9026  1.927008e-03  4.445023e+04
6215.1584 -2.332050e-04  4.409212e+04
6215.4142 -1.148670e-05  4.419983e+04
6215.6699 -1.191536e-03  4.403359e+04
6215.9257 -2.827325e-03  4.377832e+04
6216.1815 -2.727246e-03  4.386248e+04
6216.4373 -6.299796e-04  4.433714e+04
6216.6931 -2.044096e-04  4.448496e+04
6216.9489 -9.301426e-04  4.440765e+04
6217.2047 -1.770830e-03  4.430780e+04
6217.4605 -1.589468e-03  4.440770e+04
6217.7163 -3.854625e-04  4.470741e+04
6217.9721 -1.826628e-03  4.448983e+04
6218.2278 -1.368617e-03  4.464339e+04
6218.4836 -2.706101e-03  4.444573e+04
6218.7394 -2.376100e-03  4.457386e+04
6218.9952 -4.644214e-03  4.419380e+04
6219.2510 -5.208598e-03  4.414657e+04
6219.5068 -3.023991e-03  4.463652e+04
6219.7626 -1.469017e-03  4.500305e+04
6220.0184 -2.653027e-03  4.483377e+04
6220.2742 -4.212422e-03  4.459073e+04
6220.5299 -2.328042e-03  4.502062e+04
6220.7857 -3.379320e-03  4.487617e+04
6221.0415 -1.595836e-03  4.528553e+04
6221.2973 -3.794905e-03  4.491583e+04
6221.5531 -3.653311e-03  4.500330e+04
6221.8089 -4.945955e-03  4.480989e+04
6222.0647 -5.329476e-03  4.479373e+04
6222.3205 -3.711250e-03  4.516843e+04
6222.5763 -5.008687e-03  4.497256e+04
6222.8321 -6.191970e-03  4.479847e+04
6223.0878 -5.711562e-03  4.494909e+04
6223.3436 -4.709388e-03  4.520115e+04
6223.5994 -4.881150e-03  4.522311e+04
6223.8552 -4.025301e-03  4.544536e+04
6224.1110 -3.995631e-03  4.550548e+04
6224.3668 -4.334072e-03  4.549299e+04
6224.6226 -3.543589e-03  4.570057e+04
6224.8784 -3.561835e-03  4.574938e+04
6225.1342 -3.236953e-03  4.586460e+04
6225.3899 -3.744389e-03  4.581641e+04
6225.6457 -4.429569e-03  4.573278e+04
6225.9015 -5.337468e-03  4.560490e+04
6226.1573 -7.064630e-03  4.531612e+04
6226.4131 -2.935801e-03  4.617153e+04
6226.6689 -2.859598e-03  4.623387e+04
6226.9247 -8.074340e-03  4.526103e+04
6227.1805 -5.721004e-03  4.576707e+04
6227.4363 -4.012831e-03  4.614622e+04
6227.6921 -6.276669e-03  4.574802e+04
6227.9478 -7.061044e-03  4.563830e+04
6228.2036 -5.686246e-03  4.594993e+04
6228.4594 -5.362913e-03  4.605520e+04
6228.7152 -5.409521e-03  4.608735e+04
6228.9710 -3.946307e-03  4.641388e+04
6229.2268 -3.453971e-03  4.654978e+04
6229.4826 -3.463543e-03  4.658674e+04
6229.7384 -2.571863e-03  4.679909e+04
6229.9942 -1.287955e-03  4.708730e+04
6230.2499 -2.726445e-03  4.684243e+04
6230.5057  4.014597e-04  4.748950e+04
6230.7615  3.065009e-03  4.804496e+04
6231.0173  2.960847e-03  4.805848e+04
6231.2731  1.401136e-03  4.778658e+04
6231.5289  8.437533e-04  4.770981e+04
6231.7847  2.252670e-03  4.801663e+04
6232.0405  3.804676e-03  4.835059e+04
6232.2963  5.367004e-04  4.774136e+04
6232.5521 -1.058133e-03  4.745840e+04
6232.8078 -3.875434e-04  4.761752e+04
6233.0636 -1.067154e-03  4.751182e+04
6233.3194 -2.438757e-03  4.726999e+04
6233.5752 -2.730012e-03  4.723855e+04
6233.8310 -7.109814e-03  4.640691e+04
6234.0868 -4.307627e-03  4.697860e+04
6234.3426 -3.430519e-03  4.717309e+04
6234.5984 -4.681198e-03  4.695074e+04
6234.8542 -3.801473e-03  4.714408e+04
6235.1100 -1.755583e-03  4.756460e+04
6235.3657 -1.482049e-03  4.763779e+04
6235.6215 -5.289755e-03  4.691224e+04
6235.8773 -5.886924e-03  4.681357e+04
6236.1331 -5.984255e-03  4.681182e+04
6236.3889 -3.995397e-03  4.721714e+04
6236.6447 -2.344121e-03  4.755566e+04
6236.9005 -1.763992e-03  4.768398e+04
6237.1563 -2.023791e-03  4.764729e+04
6237.4121 -1.832835e-03  4.769795e+04
6237.6678  3.652900e-03  4.878302e+04
6237.9236  1.622357e-03  4.839781e+04
6238.1794  3.063254e-03  4.869055e+04
6238.4352  3.496994e-03  4.878562e+04
6238.6910  2.929396e-03  4.868417e+04
6238.9468  1.931803e-03  4.849791e+04
6239.2026  2.281460e-03  4.857432e+04
6239.4584  8.400247e-04  4.829983e+04
6239.7142  4.072133e-03  4.893834e+04
6239.9700  2.688809e-03  4.867379e+04
6240.2257  6.036668e-03  4.933352e+04
6240.4815  7.161449e-03  4.955793e+04
6240.7373  4.339874e-03  4.901009e+04
6240.9931  3.262296e-03  4.880255e+04
6241.2489  3.894425e-03  4.892861e+04
6241.5047  5.113633e-03  4.916879e+04
6241.7605  7.512392e-03  4.963894e+04
6242.0163  7.786162e-03  4.969298e+04
6242.2721  6.587892e-03  4.945860e+04
6242.5278  4.660483e-03  4.908104e+04
6242.7836  3.632995e-03  4.887882e+04
6243.0394  4.127627e-03  4.897358e+04
6243.2952  4.094804e-03  4.896462e+04
6243.5510  4.677299e-03  4.907539e+04
6243.8068  3.833965e-03  4.890682e+04
6244.0626  1.746867e-03  4.849452e+04
6244.3184  4.257415e-03  4.898055e+04
6244.5742  6.531113e-03  4.941974e+04
6244.8300  5.958848e-03  4.930198e+04
6245.0857  4.678181e-03  4.904521e+04
6245.3415  6.312508e-03  4.935783e+04
6245.5973  7.694223e-03  4.962057e+04
6245.8531  4.658367e-03  4.901914e+04
6246.1089  7.476302e-03  4.956171e+04
6246.3647  8.417741e-03  4.973694e+04
6246.6205  1.034016e-02  5.010351e+04
6246.8763  1.147695e-02  5.031604e+04
6247.1321  1.001832e-02  5.002070e+04
6247.3878  1.247427e-02  5.049028e+04
6247.6436  1.270917e-02  5.052521e+04
6247.8994  1.015103e-02  5.001368e+04
6248.1552  8.432532e-03  4.966591e+04
6248.4110  7.849555e-03  4.953978e+04
