# Wavelength Flux(Normalised) Flux(Original)
6169.2929  1.035634e-02  2.087362e+04
6169.5542  1.015834e-02  2.105375e+04
6169.8155  9.670138e-03  2.116387e+04
6170.0768  9.017243e-03  2.122997e+04
6170.3381  8.257320e-03  2.126419e+04
6170.5994  8.806452e-03  2.155577e+04
6170.8607  6.794885e-03  2.131559e+04
6171.1219  6.658549e-03  2.144896e+04
6171.3832  7.686688e-03  2.181121e+04
6171.6445  6.695415e-03  2.175312e+04
6171.9058  5.617109e-03  2.166921e+04
6172.1671  3.541423e-03  2.137409e+04
6172.4284  1.940716e-03  2.116841e+04
6172.6897  2.297476e-03  2.135490e+04
6172.9510  1.967119e-03  2.139432e+04
6173.2123  1.883817e-03  2.147754e+04
6173.4736  1.127621e-03  2.141712e+04
6173.7349  1.253363e-03  2.153053e+04
6173.9962  8.195303e-04  2.152393e+04
6174.2575  5.410667e-04  2.154343e+04
6174.5188  2.255169e-05  2.150859e+04
6174.7801 -1.564861e-03  2.125055e+04
6175.0413 -1.407841e-03  2.134347e+04
6175.3026 -9.885199e-04  2.148521e+04
6175.5639 -7.437770e-04  2.158684e+04
6175.8252 -6.959505e-04  2.164401e+04
6176.0865 -2.372421e-03  2.134531e+04
6176.3478 -2.203730e-03  2.141916e+04
6176.6091 -3.094310e-03  2.127319e+04
6176.8704 -3.288855e-03  2.126568e+04
6177.1317 -3.001723e-03  2.135309e+04
6177.3930 -2.206383e-03  2.154099e+04
6177.6543 -8.002147e-04  2.185048e+04
6177.9156 -3.481336e-03  2.132326e+04
6178.1769 -2.441984e-03  2.155234e+04
6178.4382 -1.617807e-03  2.173496e+04
6178.6995 -2.067071e-03  2.165538e+04
6178.9608 -2.407682e-03  2.159568e+04
6179.2220 -1.824562e-03  2.172228e+04
6179.4833 -2.913361e-03  2.150579e+04
6179.7446 -3.129345e-03  2.146547e+04
6180.0059 -2.433725e-03  2.160937e+04
6180.2672 -2.726605e-03  2.154995e+04
6180.5285 -2.603044e-03  2.157396e+04
6180.7898 -2.254392e-03  2.164246e+04
6181.0511 -1.980577e-03  2.169438e+04
6181.3124 -2.059254e-03  2.167317e+04
6181.5737 -1.221107e-03  2.183788e+04
6181.8350 -5.735866e-04  2.196268e+04
6182.0963 -7.431451e-04  2.191985e+04
6182.3576 -1.567382e-03  2.174262e+04
6182.6189 -2.072777e-03  2.162967e+04
6182.8802 -1.996499e-03  2.163471e+04
6183.1414 -1.782238e-03  2.166729e+04
6183.4027 -1.103381e-03  2.179413e+04
6183.6640 -7.199246e-04  2.186024e+04
6183.9253 -4.930230e-04  2.189404e+04
6184.1866  4.659864e-04  2.207686e+04
6184.4479  7.751645e-04  2.212686e+04
6184.7092 -4.431001e-04  2.186504e+04
6184.9705 -1.045174e-03  2.172880e+04
6185.2318 -1.816027e-03  2.155803e+04
6185.4931 -7.401156e-04  2.176399e+04
6185.7544  2.220200e-04  2.194676e+04
6186.0157  8.230121e-05  2.190481e+04
6186.2770 -8.249327e-04  2.170638e+04
6186.5383 -1.461697e-04  2.183167e+04
6186.7996  2.735444e-04  2.190431e+04
6187.0609  1.428468e-03  2.212717e+04
6187.3221  1.076390e-03  2.204286e+04
6187.5834 -1.170049e-03  2.157239e+04
6187.8447  1.136936e-03  2.203121e+04
6188.1060  1.230957e-03  2.203892e+04
6188.3673  1.561513e-03  2.209530e+04
6188.6286  2.631681e-03  2.230299e+04
6188.8899  3.259555e-03  2.242090e+04
6189.1512  1.943947e-03  2.214281e+04
6189.4125  1.413700e-03  2.202544e+04
6189.6738  1.955436e-03  2.212728e+04
6189.9351  1.434647e-03  2.201290e+04
6190.1964  1.356203e-03  2.198932e+04
6190.4577  1.766962e-03  2.206613e+04
6190.7190  2.749615e-03  2.226019e+04
6190.9803  2.738120e-03  2.225205e+04
6191.2416  2.309653e-03  2.215946e+04
6191.5028  2.203286e-03  2.213321e+04
6191.7641  2.676943e-03  2.222594e+04
6192.0254  3.253022e-03  2.234020e+04
6192.2867  1.458684e-03  2.197154e+04
6192.5480  1.158090e-03  2.190828e+04
6192.8093  3.295151e-03  2.234300e+04
6193.0706  2.519146e-03  2.218409e+04
6193.3319  1.389173e-04  2.169859e+04
6193.5932  2.817347e-03  2.224579e+04
6193.8545  2.425459e-03  2.216729e+04
6194.1158  1.780634e-03  2.203788e+04
6194.3771  1.634658e-03  2.201093e+04
6194.6384  4.623730e-04  2.177528e+04
6194.8997  2.022222e-04  2.172640e+04
6195.1610  1.356893e-04  2.171771e+04
6195.4222  4.122617e-04  2.177969e+04
6195.6835  2.328386e-04  2.174931e+04
6195.9448  4.629793e-04  2.180317e+04
6196.2061  2.881779e-03  2.230419e+04
6196.4674  2.479132e-03  2.223028e+04
6196.7287  3.016681e-03  2.234883e+04
6196.9900  4.510398e-03  2.266310e+04
6197.2513  4.431766e-03  2.265724e+04
6197.5126  2.336218e-03  2.224055e+04
6197.7739  4.677773e-03  2.272969e+04
6198.0352  4.349478e-03  2.267478e+04
6198.2965  3.458376e-03  2.250566e+04
6198.5578  2.972585e-03  2.241983e+04
6198.8191  2.534603e-03  2.234434e+04
6199.0804  2.084633e-03  2.226700e+04
6199.3417  2.177004e-03  2.230086e+04
6199.6029  3.675601e-03  2.262218e+04
6199.8642  2.159657e-03  2.232904e+04
6200.1255  1.524412e-03  2.221612e+04
6200.3868  9.611832e-04  2.211843e+04
6200.6481  8.457656e-04  2.211260e+04
6200.9094 -5.067338e-05  2.194795e+04
6201.1707 -1.334491e-03  2.170476e+04
6201.4320 -1.544133e-03  2.168119e+04
6201.6933 -2.113069e-03  2.158479e+04
6201.9546 -4.452718e-03  2.112761e+04
6202.2159 -4.506437e-03  2.113723e+04
6202.4772 -4.029014e-03  2.125563e+04
6202.7385 -2.763744e-03  2.153518e+04
6202.9998 -2.371085e-03  2.163711e+04
6203.2611 -2.966585e-03  2.153784e+04
6203.5223 -3.191336e-03  2.151459e+04
6203.7836 -2.327320e-03  2.171382e+04
6204.0449 -1.338968e-03  2.193878e+04
6204.3062 -2.029268e-03  2.182161e+04
6204.5675 -1.683702e-03  2.191609e+04
6204.8288 -5.456279e-04  2.217256e+04
6205.0901  1.217228e-04  2.233330e+04
6205.3514  6.628675e-04  2.246859e+04
6205.6127 -2.792400e-04  2.230154e+04
6205.8740  8.709387e-04  2.256161e+04
6206.1353  1.119942e-04  2.243244e+04
6206.3966 -1.264318e-04  2.240969e+04
6206.6579  5.878059e-04  2.258152e+04
6206.9192  1.763867e-04  2.252390e+04
6207.1805 -2.084299e-04  2.247191e+04
6207.4418 -2.825093e-04  2.248350e+04
6207.7030  1.589401e-03  2.289225e+04
6207.9643  1.622369e-03  2.292600e+04
6208.2256  2.042001e-03  2.303877e+04
6208.4869  1.389171e-03  2.293288e+04
6208.7482 -6.738391e-04  2.253941e+04
6209.0095 -2.398233e-04  2.265547e+04
6209.2708  2.423336e-04  2.278145e+04
6209.5321  3.565314e-04  2.283243e+04
6209.7934  1.058735e-03  2.300345e+04
6210.0547 -2.914466e-05  2.280932e+04
6210.3160 -4.442234e-04  2.275250e+04
6210.5773 -9.669601e-04  2.267375e+04
6210.8386 -1.955078e-03  2.250008e+04
6211.0999 -1.116757e-03  2.269903e+04
6211.3612 -1.889288e-03  2.256936e+04
6211.6225 -1.099957e-03  2.275830e+04
6211.8837 -1.353856e-04  2.298297e+04
6212.1450 -9.281185e-04  2.284911e+04
6212.4063 -6.151827e-04  2.294077e+04
6212.6676 -1.445679e-03  2.279910e+04
6212.9289 -8.325502e-04  2.295188e+04
6213.1902  1.102843e-04  2.317186e+04
6213.4515 -4.386404e-04  2.308741e+04
6213.7128 -1.469356e-03  2.290459e+04
6213.9741 -1.357858e-03  2.295468e+04
6214.2354 -4.083052e-04  2.317563e+04
6214.4967 -8.114526e-04  2.312050e+04
6214.7580 -5.647055e-04  2.319783e+04
6215.0193 -8.985301e-04  2.315657e+04
6215.2806 -5.812083e-04  2.324801e+04
6215.5419 -7.853447e-04  2.323291e+04
6215.8031 -1.396953e-03  2.313452e+04
6216.0644 -8.713737e-04  2.326796e+04
6216.3257  1.722535e-05  2.347527e+04
6216.5870 -9.448670e-04  2.330484e+04
6216.8483 -4.472662e-04  2.343201e+04
6217.1096 -7.859232e-04  2.338838e+04
6217.3709 -2.046613e-03  2.315643e+04
6217.6322 -1.069664e-03  2.338077e+04
6217.8935 -4.458033e-04  2.353286e+04
6218.1548 -3.824726e-04  2.357037e+04
6218.4161 -8.984348e-04  2.348946e+04
6218.6774 -1.849203e-03  2.331961e+04
6218.9387 -1.439268e-03  2.342711e+04
6219.2000  3.978396e-05  2.375246e+04
6219.4613 -9.055545e-04  2.358297e+04
6219.7226 -2.319416e-03  2.331763e+04
6219.9838 -2.737861e-03  2.325510e+04
6220.2451 -2.362019e-03  2.335435e+04
6220.5064 -1.871141e-03  2.347678e+04
6220.7677 -2.432997e-03  2.338417e+04
6221.0290 -2.423847e-03  2.340777e+04
6221.2903 -1.765405e-03  2.356354e+04
6221.5516 -9.978205e-04  2.374128e+04
6221.8129 -1.653874e-03  2.362829e+04
6222.0742 -1.402810e-03  2.370007e+04
6222.3355 -8.084091e-04  2.384159e+04
6222.5968 -2.206908e-03  2.357623e+04
6222.8581 -2.457273e-03  2.354479e+04
6223.1194 -1.729396e-03  2.371262e+04
6223.3807 -2.040052e-03  2.366826e+04
6223.6420 -1.374969e-03  2.382264e+04
6223.9032 -1.058131e-03  2.390566e+04
6224.1645 -8.720820e-04  2.396168e+04
6224.4258 -9.045066e-04  2.397281e+04
6224.6871 -2.287104e-03  2.370817e+04
6224.9484 -1.410408e-03  2.390411e+04
6225.2097 -1.018130e-03  2.400091e+04
6225.4710 -1.418336e-03  2.393570e+04
6225.7323 -1.610271e-03  2.391265e+04
6225.9936 -2.222331e-03  2.380357e+04
6226.2549 -1.901928e-03  2.388438e+04
6226.5162 -1.404444e-03  2.400099e+04
6226.7775 -1.445616e-03  2.400738e+04
6227.0388  1.645949e-03  2.465254e+04
6227.3001  5.027674e-04  2.443344e+04
6227.5614  6.616881e-04  2.447965e+04
6227.8227  2.062157e-03  2.477882e+04
6228.0839  1.855161e-03  2.474972e+04
6228.3452  1.415445e-03  2.467280e+04
6228.6065  1.155165e-03  2.463217e+04
6228.8678  5.297167e-04  2.451670e+04
6229.1291 -1.539344e-03  2.410640e+04
6229.3904 -1.218066e-03  2.418342e+04
6229.6517 -2.283418e-03  2.397722e+04
6229.9130 -1.402241e-03  2.416781e+04
6230.1743 -9.761933e-04  2.426522e+04
6230.4356 -1.695612e-03  2.412862e+04
6230.6969 -1.427923e-03  2.419308e+04
6230.9582 -1.036291e-03  2.428251e+04
6231.2195  7.588217e-04  2.465793e+04
6231.4808 -1.538390e-03  2.419817e+04
6231.7421  9.487184e-04  2.471414e+04
6232.0033 -5.876358e-05  2.451687e+04
6232.2646 -8.313614e-04  2.436720e+04
6232.5259 -3.297643e-04  2.447717e+04
6232.7872  1.121498e-04  2.457466e+04
6233.0485 -1.516445e-03  2.424945e+04
6233.3098 -2.473420e-03  2.406095e+04
6233.5711 -1.612301e-03  2.424305e+04
6233.8324 -1.759889e-03  2.421908e+04
6234.0937 -1.637525e-03  2.424988e+04
6234.3550 -1.326657e-03  2.431885e+04
6234.6163 -1.020330e-04  2.457395e+04
6234.8776  1.825145e-03  2.497209e+04
6235.1389  1.282968e-03  2.486618e+04
6235.4002 -1.285636e-04  2.458263e+04
6235.6615 -1.237692e-03  2.436050e+04
6235.9228 -3.966748e-04  2.453595e+04
6236.1840  1.717965e-03  2.497096e+04
6236.4453 -9.823782e-05  2.460378e+04
6236.7066 -9.680244e-04  2.442941e+04
6236.9679 -1.321798e-03  2.436006e+04
6237.2292 -8.452235e-04  2.445985e+04
6237.4905 -1.503179e-03  2.432793e+04
6237.7518 -1.848866e-03  2.425948e+04
6238.0131  4.607179e-04  2.473248e+04
6238.2744 -1.457085e-05  2.463710e+04
6238.5357 -1.198511e-03  2.439692e+04
6238.7970  7.750852e-04  2.480067e+04
6239.0583  6.370791e-04  2.477341e+04
6239.3196 -7.602881e-04  2.448900e+04
6239.5809  9.776973e-04  2.484402e+04
6239.8422  1.027743e-03  2.485446e+04
6240.1035  8.979658e-04  2.482801e+04
6240.3647  3.028386e-03  2.526246e+04
6240.6260  3.053162e-03  2.526713e+04
6240.8873  2.809802e-03  2.521690e+04
6241.1486  1.309599e-03  2.491006e+04
6241.4099  2.656516e-04  2.469612e+04
6241.6712 -6.103929e-04  2.451625e+04
6241.9325 -2.112130e-04  2.459635e+04
6242.1938 -5.279122e-04  2.453023e+04
6242.4551 -4.731973e-04  2.453971e+04
6242.7164 -1.771488e-04  2.459826e+04
6242.9777  1.428888e-04  2.466154e+04
6243.2390  8.866438e-04  2.481110e+04
6243.5003 -5.763199e-04  2.451031e+04
6243.7616 -1.534749e-04  2.459410e+04
6244.0229  8.699253e-04  2.480026e+04
6244.2841  2.355375e-03  2.510054e+04
6244.5454  1.315721e-03  2.488554e+04
6244.8067  2.689923e-03  2.516286e+04
6245.0680  2.485654e-03  2.511803e+04
6245.3293  3.380688e-03  2.529734e+04
6245.5906  3.964825e-03  2.541310e+04
6245.8519  4.032140e-03  2.542332e+04
6246.1132  3.030545e-03  2.521535e+04
6246.3745  2.810126e-03  2.516665e+04
6246.6358  1.616882e-03  2.491938e+04
6246.8971  3.500336e-03  2.529970e+04
6247.1584  2.562984e-03  2.510444e+04
6247.4197  2.121225e-03  2.501021e+04
6247.6810  1.446209e-03  2.486830e+04
6247.9423  1.030186e-03  2.477916e+04
6248.2036  1.303565e-04  2.459124e+04
6248.4648  2.789052e-04  2.461712e+04
6248.7261  2.173600e-03  2.499917e+04
6248.9874  1.540094e-03  2.486539e+04
6249.2487  2.081170e-03  2.497117e+04
6249.5100  9.954151e-04  2.474501e+04
6249.7713  5.768227e-04  2.465491e+04
6250.0326  1.551450e-04  2.456413e+04
6250.2939  1.208446e-03  2.477422e+04
6250.5552  2.245007e-03  2.498087e+04
6250.8165  1.097511e-03  2.474191e+04
6251.0778  1.238781e-03  2.476585e+04
6251.3391  9.171773e-05  2.452693e+04
6251.6004 -5.174365e-05  2.449273e+04
6251.8617  1.618485e-03  2.482853e+04
6252.1230  1.267798e-03  2.475203e+04
6252.3842  1.419029e-03  2.477792e+04
6252.6455 -4.343866e-05  2.447460e+04
